"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","7015779120.6","7094571000","4.73","3647782","","","/mutual-fund/holding-history/6088/533/"
"State Bank of India","SBIN","500112","Financial Services","6550414853.6","6718735000","4.48","8271248","1187156","16.76","/mutual-fund/holding-history/6088/1193/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","6456416498.9","6597418000","4.39","4563161","","","/mutual-fund/holding-history/6088/584/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","5965179370.5","5822093000","3.88","4883487","-571418","-10.48","/mutual-fund/holding-history/6088/140/"
"Coforge Ltd","COFORGE","532541","Technology","736703312.5","3475411000","2.31","406457","","","/mutual-fund/holding-history/6088/942/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","3372333328","3297163000","2.2","1589224","-253745","-13.77","/mutual-fund/holding-history/6088/758/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","2844188858.55","2995014000","1.99","7286253","-1035426","-12.44","/mutual-fund/holding-history/6088/556/"
"Cipla Ltd","CIPLA","500087","Healthcare","2883713287.4","2812897000","1.87","1919149","","","/mutual-fund/holding-history/6088/268/"
"Ipca Laboratories Ltd","IPCALAB","524494","Healthcare","2604992544","2723306000","1.81","1911360","","","/mutual-fund/holding-history/6088/642/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","2867704561","2695671000","1.8","1793885","-266138","-12.92","/mutual-fund/holding-history/6088/845/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","2607763769.87","2658992000","1.77","17365411","","","/mutual-fund/holding-history/6088/878/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","2633681992","2617045000","1.74","1409894","-154370","-9.87","/mutual-fund/holding-history/6088/187/"
"Larsen & Toubro Ltd","LT","500510","Industrials","2544797115.9","2598101000","1.73","706947","","","/mutual-fund/holding-history/6088/800/"
"AU Small Finance Bank Ltd","AUBANK","540611","Financial Services","2838789638.4","2469156000","1.64","3562738","-415078","-10.43","/mutual-fund/holding-history/6088/54902/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","2507666312.5","2454000000","1.63","824375","","","/mutual-fund/holding-history/6088/807/"
"Infosys Ltd","INFY","500209","Technology","2512354933.2","2411287000","1.61","1543026","411507","36.37","/mutual-fund/holding-history/6088/630/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","2344731321.6","2381991000","1.59","5867696","","","/mutual-fund/holding-history/6088/1026/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","2489234777.4","2371569000","1.58","1449083","88528","6.51","/mutual-fund/holding-history/6088/531/"
"Indus Towers Ltd Ordinary Shares","INDUSTOWER","534816","Communication Services","2322001846.25","2279865000","1.52","5934829","-261679","-4.22","/mutual-fund/holding-history/6088/629/"
"NTPC Ltd","NTPC","532555","Utilities","2186738970.9","2190675000","1.46","6560873","-200553","-2.97","/mutual-fund/holding-history/6088/959/"
"Petronet LNG Ltd","PETRONET","532522","Energy","2114847592","2180848000","1.45","7096804","","","/mutual-fund/holding-history/6088/1025/"
"Syngene International Ltd","SYNGENE","539268","Healthcare","2176495124.5","2178854000","1.45","3369970","157205","4.89","/mutual-fund/holding-history/6088/1771/"
"Oil India Ltd","OIL","533106","Energy","2359661713.4","2148717000","1.43","5034482","","","/mutual-fund/holding-history/6088/965/"
"LIC Housing Finance Ltd","LICHSGFIN","500253","Financial Services","2129795245.5","2100564000","1.4","3521778","","","/mutual-fund/holding-history/6088/790/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","2046913431.3","2061818000","1.37","1137743","","","/mutual-fund/holding-history/6088/60957/"
"Bharat Petroleum Corp Ltd","BPCL","500547","Energy","1995279296.5","2039476000","1.36","6405391","277413","4.53","/mutual-fund/holding-history/6088/215/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","2067392840","2008906000","1.34","1071188","164221","18.11","/mutual-fund/holding-history/6088/61147/"
"Jindal Steel & Power Ltd","JINDALSTEL","532286","Basic Materials","1884487609.6","1988646000","1.32","2095738","","","/mutual-fund/holding-history/6088/677/"
"Coromandel International Ltd","COROMANDEL","506395","Basic Materials","1973324114.4","1977643000","1.32","863826","-9","0","/mutual-fund/holding-history/6088/284/"
"Mphasis Ltd","MPHASIS","526299","Technology","2016491337","1926016000","1.28","752703","","","/mutual-fund/holding-history/6088/881/"
"Alkem Laboratories Ltd","ALKEM","539523","Healthcare","1721731284","1833385000","1.22","359593","","","/mutual-fund/holding-history/6088/1878/"
"Emami Ltd","EMAMILTD","531162","Consumer Defensive","1782791868","1820816000","1.21","3116769","","","/mutual-fund/holding-history/6088/374/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","1749828425.1","1787430000","1.19","761159","","","/mutual-fund/holding-history/6088/560/"
"Tata Motors Ltd","TATAMOTORS","500570","Consumer Cyclical","1636782819.9","1750134000","1.17","2432431","-732043","-23.13","/mutual-fund/holding-history/6088/1362/"
"Crompton Greaves Consumer Electricals Ltd","CROMPTON","539876","Consumer Cyclical","1702628178.3","1730082000","1.15","4902471","","","/mutual-fund/holding-history/6088/2020/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","1687845306.4","1640039000","1.09","8116592","","","/mutual-fund/holding-history/6088/412/"
"Exide Industries Ltd","EXIDEIND","500086","Consumer Cyclical","1615124043","1637559000","1.09","4233060","170952","4.21","/mutual-fund/holding-history/6088/404/"
