"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","55144578446.2","54271172000","5.41","27904351","","","/mutual-fund/holding-history/6094/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","39385526605.6","40047538000","3.99","27699224","","","/mutual-fund/holding-history/6094/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","36236771929.6","35045487000","3.49","24664288","","","/mutual-fund/holding-history/6094/1127/"
"Infosys Ltd","INFY","500209","Technology","32363795618","31491223000","3.14","20151803","","","/mutual-fund/holding-history/6094/630/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","31961255708.2","30217737000","3.01","16279354","1800000","12.43","/mutual-fund/holding-history/6094/187/"
"State Bank of India","SBIN","500112","Financial Services","28017500000","28430500000","2.83","35000000","","","/mutual-fund/holding-history/6094/1193/"
"Larsen & Toubro Ltd","LT","500510","Industrials","24002877859.4","24423550000","2.44","6645683","","","/mutual-fund/holding-history/6094/800/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","24088377509.3","23638294000","2.36","19827457","","","/mutual-fund/holding-history/6094/140/"
"NTPC Ltd","NTPC","532555","Utilities","23154788156.5","23350600000","2.33","69932915","-405000","-0.58","/mutual-fund/holding-history/6094/959/"
"Coal India Ltd","COALINDIA","533278","Energy","21070734720","21312126000","2.12","53642400","-2212331","-3.96","/mutual-fund/holding-history/6094/275/"
"ITC Ltd","ITC","500875","Consumer Defensive","17279287371.6","17339429000","1.73","41476926","","","/mutual-fund/holding-history/6094/647/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","15376020770","15616807000","1.56","4509097","","","/mutual-fund/holding-history/6094/1372/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","11305914097.6","11381902000","1.13","6784634","-445200","-6.16","/mutual-fund/holding-history/6094/1316/"
"Lupin Ltd","LUPIN","500257","Healthcare","10840559524.6","11022990000","1.1","5630582","","","/mutual-fund/holding-history/6094/804/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","10826751651.2","10354153000","1.03","6326624","","","/mutual-fund/holding-history/6094/531/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","10450672110","10109292000","1.01","820626","","","/mutual-fund/holding-history/6094/842/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","9477150000","9336850000","0.93","23000000","","","/mutual-fund/holding-history/6094/1026/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","9092620317.9","8949892000","0.89","4938689","","","/mutual-fund/holding-history/6094/60957/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","9267275920.5","8679197000","0.87","2915613","","","/mutual-fund/holding-history/6094/807/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","8667513547","8153476000","0.81","3929954","","","/mutual-fund/holding-history/6094/758/"
"Bank of Baroda","BANKBARODA","532134","Financial Services","7185000000","7486500000","0.75","30000000","","","/mutual-fund/holding-history/6094/162/"
"REC Ltd","RECLTD","532955","Financial Services","7365775000","7442550000","0.74","18500000","-500000","-2.63","/mutual-fund/holding-history/6094/1119/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","7808123114","7360682000","0.73","1380991","","","/mutual-fund/holding-history/6094/1784/"
"Hyundai Motor India Ltd","HYUNDAI","544274","Consumer Cyclical","8469002406.8","7339060000","0.73","3973073","","","/mutual-fund/holding-history/6094/2710663/"
"Bharat Petroleum Corp Ltd","BPCL","500547","Energy","7321260859.65","7265356000","0.72","22818329","","","/mutual-fund/holding-history/6094/215/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","6895226316.3","6931481000","0.69","16862867","","","/mutual-fund/holding-history/6094/556/"
"GAIL (India) Ltd","GAIL","532155","Utilities","6286600000","6453200000","0.64","34000000","","","/mutual-fund/holding-history/6094/431/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","634218750","6311594000","0.63","687500","","","/mutual-fund/holding-history/6094/150/"
"Techno Electric & Engineering Co Ltd","TECHNOE","542141","Industrials","6579000000","6062140000","0.6","4300000","","","/mutual-fund/holding-history/6094/118204/"
"Divi's Laboratories Ltd","DIVISLAB","532488","Healthcare","5809124923.5","5877122000","0.59","888857","76996","9.48","/mutual-fund/holding-history/6094/336/"
"Bajaj Finserv Ltd","BAJAJFINSV","532978","Financial Services","5815535600","5832303000","0.58","2891000","","","/mutual-fund/holding-history/6094/147/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","6073592831.01","5594241000","0.56","23474637","","","/mutual-fund/holding-history/6094/589490/"
"IndusInd Bank Ltd","INDUSINDBK","532187","Financial Services","5577659738.4","5480718000","0.55","6708756","","","/mutual-fund/holding-history/6094/625/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","5307803476.98","5458661000","0.54","33900514","","","/mutual-fund/holding-history/6094/1366/"
"Bharat Dynamics Ltd Ordinary Shares","BDL","541143","Industrials","4883997072.5","5389376000","0.54","2673965","-1216035","-31.26","/mutual-fund/holding-history/6094/80210/"
"Hindustan Aeronautics Ltd Ordinary Shares","HAL","541154","Industrials","4743003215.8","4902881000","0.49","985682","-41468","-4.04","/mutual-fund/holding-history/6094/80502/"
"AU Small Finance Bank Ltd","AUBANK","540611","Financial Services","5650703347.05","4870012000","0.49","7026927","","","/mutual-fund/holding-history/6094/54902/"
"Apar Industries Ltd","APARINDS","532259","Industrials","4586790000","4624980000","0.46","570000","","","/mutual-fund/holding-history/6094/88/"
"BEML Ltd","BEML","500048","Industrials","4762964185","4532692000","0.45","1071533","","","/mutual-fund/holding-history/6094/176/"
"Apollo Tyres Ltd","APOLLOTYRE","500877","Consumer Cyclical","4038300000","4234950000","0.42","9000000","","","/mutual-fund/holding-history/6094/94/"
"Jindal Steel & Power Ltd","JINDALSTEL","532286","Basic Materials","4008388535.2","4093371000","0.41","4313806","","","/mutual-fund/holding-history/6094/677/"
"Hexaware Technologies Ltd Ordinary Shares","HEXT","544362","Technology","3781719933.75","3801448000","0.38","4433175","","","/mutual-fund/holding-history/6094/2974675/"
"Titagarh Rail Systems Ltd","TITAGARH","532966","Industrials","3863580000","3744720000","0.37","4200000","","","/mutual-fund/holding-history/6094/1434/"
"Gujarat Pipavav Port Ltd","GPPL","533248","Industrials","3722320000","3591450000","0.36","23000000","","","/mutual-fund/holding-history/6094/487/"
"Ipca Laboratories Ltd","IPCALAB","524494","Healthcare","3333409492.7","3557901000","0.35","2497123","50067","2.05","/mutual-fund/holding-history/6094/642/"
"J Kumar Infraprojects Ltd","JKIL","532940","Industrials","3635193956.4","3510022000","0.35","4957308","","","/mutual-fund/holding-history/6094/684/"
"Bajaj Auto Ltd","BAJAJ-AUTO","532977","Consumer Cyclical","3283950252","3372102000","0.34","391786","-75","-0.02","/mutual-fund/holding-history/6094/144/"
"Ashoka Buildcon Ltd","ASHOKA","533271","Industrials","3122425499.2","3264684000","0.33","14834080","","","/mutual-fund/holding-history/6094/113/"
"Oil & Natural Gas Corp Ltd","ONGC","500312","Energy","3261891524.5","3210264000","0.32","13409626","","","/mutual-fund/holding-history/6094/974/"
"Aurobindo Pharma Ltd","AUROPHARMA","524804","Healthcare","3018771776.8","3124670000","0.31","2722312","-169400","-5.86","/mutual-fund/holding-history/6094/132/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","3009428918.3","3105437000","0.31","1322419","","","/mutual-fund/holding-history/6094/560/"
"Adani Energy Solutions Ltd","ADANIENSOL","539254","Utilities","2963064168.3","3025514000","0.3","3488831","","","/mutual-fund/holding-history/6094/1759/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","3220092590","2971077000","0.3","526460","","","/mutual-fund/holding-history/6094/1412/"
"Tata Motors Ltd","TATAMOTORS","500570","Consumer Cyclical","2747202909","2921822000","0.29","4060906","","","/mutual-fund/holding-history/6094/1362/"
"Britannia Industries Ltd","BRITANNIA","500825","Consumer Defensive","2860820928","2759901000","0.28","500844","","","/mutual-fund/holding-history/6094/220/"
"Mishra Dhatu Nigam Ltd Ordinary Shares","MIDHANI","541195","Basic Materials","2809942500","2733510000","0.27","6450000","-1350000","-17.31","/mutual-fund/holding-history/6094/80900/"
"NHPC Ltd","NHPC","533098","Utilities","2550502254.96","2611755000","0.26","29879361","","","/mutual-fund/holding-history/6094/938/"
"PCBL Chemical Ltd","PCBL","506590","Basic Materials","2565915461.9","2502505000","0.25","6278237","","","/mutual-fund/holding-history/6094/1034/"
"Dynamatic Technologies Ltd","DYNAMATECH","505242","Consumer Cyclical","2520541946.5","2411642000","0.24","351859","","","/mutual-fund/holding-history/6094/351/"
"Adani Ports & Special Economic Zone Ltd","ADANIPORTS","532921","Industrials","2300899520.4","2374481000","0.24","1657231","","","/mutual-fund/holding-history/6094/27/"
"Godrej Properties Ltd","GODREJPROP","533150","Real Estate","2479375030","2322557000","0.23","1035100","","","/mutual-fund/holding-history/6094/478/"
"Bharat Forge Ltd","BHARATFORG","500493","Consumer Cyclical","2399889732","2319333000","0.23","1869073","","","/mutual-fund/holding-history/6094/184/"
"LMW Ltd","LMW","500252","Industrials","2227585104","2292101000","0.23","137268","","","/mutual-fund/holding-history/6094/785/"
"Time Technoplast Ltd","TIMETECHNO","532856","Consumer Cyclical","2736000000","2267700000","0.23","6000000","","","/mutual-fund/holding-history/6094/1398/"
"Garden Reach Shipbuilders & Engineers Ltd","GRSE","542011","Industrials","2312160684","2267020000","0.23","754868","-445132","-37.09","/mutual-fund/holding-history/6094/105874/"
"Kalpataru Projects International Ltd","KPIL","522287","Industrials","2417489991.4","2216698000","0.22","1946606","","","/mutual-fund/holding-history/6094/712/"
"United Spirits Ltd","UNITDSPR","532432","Consumer Defensive","2123222870.3","2213808000","0.22","1456357","","","/mutual-fund/holding-history/6094/851/"
