"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","69584900000","70844200000","9.35","49000000","","","/mutual-fund/holding-history/7348/584/"
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","69357600000","70016400000","9.24","36000000","","","/mutual-fund/holding-history/7348/533/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","63221600000","61994400000","8.18","52000000","-1000000","-1.89","/mutual-fund/holding-history/7348/140/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","35503211100","35658659000","4.71","19677000","177000","0.91","/mutual-fund/holding-history/7348/60957/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","35239050000","34232550000","4.52","16500000","","","/mutual-fund/holding-history/7348/758/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","31397500000","30797500000","4.06","2500000","","","/mutual-fund/holding-history/7348/842/"
"Cipla Ltd","CIPLA","500087","Healthcare","30208000000","29314000000","3.87","20000000","300000","1.52","/mutual-fund/holding-history/7348/268/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","21318700000","21346300000","2.82","11500000","","","/mutual-fund/holding-history/7348/187/"
"State Bank of India","SBIN","500112","Financial Services","19832500000","20307500000","2.68","25000000","7500000","42.86","/mutual-fund/holding-history/7348/1193/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","21325740000","20130180000","2.66","12300000","-201855","-1.61","/mutual-fund/holding-history/7348/531/"
"Piramal Pharma Ltd","PPLPHARMA","543635","Healthcare","16634556110.96","17449959000","2.3","84585356","3228473","3.97","/mutual-fund/holding-history/7348/1093348/"
"Bajaj Auto Ltd","BAJAJ-AUTO","532977","Consumer Cyclical","17080000000","17214000000","2.27","2000000","188746","10.42","/mutual-fund/holding-history/7348/144/"
