"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","17732500000","18072500000","9.23","12500000","500000","4.17","/mutual-fund/holding-history/7893/584/"
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","16942640000","17115120000","8.74","8800000","","","/mutual-fund/holding-history/7893/533/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","16804260000","16452360000","8.4","13800000","","","/mutual-fund/holding-history/7893/140/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","8551600000","8298800000","4.24","4000000","400000","11.11","/mutual-fund/holding-history/7893/758/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","8113950000","8154900000","4.17","4500000","","","/mutual-fund/holding-history/7893/60957/"
"State Bank of India","SBIN","500112","Financial Services","7664975051.8","7852020000","4.01","9666404","3366404","53.43","/mutual-fund/holding-history/7893/1193/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","7846875000","7699375000","3.93","625000","","","/mutual-fund/holding-history/7893/842/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","7863402038.8","7418714000","3.79","4533004","","","/mutual-fund/holding-history/7893/531/"
"Cipla Ltd","CIPLA","500087","Healthcare","7519000000","7328500000","3.74","5000000","200000","4.17","/mutual-fund/holding-history/7893/268/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","5807160000","6118760000","3.13","38000000","","","/mutual-fund/holding-history/7893/1366/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","5561400000","5568600000","2.84","3000000","","","/mutual-fund/holding-history/7893/187/"
"Piramal Pharma Ltd","PPLPHARMA","543635","Healthcare","4719120000","4951200000","2.53","24000000","","","/mutual-fund/holding-history/7893/1093348/"
"Bajaj Auto Ltd","BAJAJ-AUTO","532977","Consumer Cyclical","4687100000","4733850000","2.42","550000","","","/mutual-fund/holding-history/7893/144/"
"Hyundai Motor India Ltd","HYUNDAI","544274","Consumer Cyclical","4284500000","4063840000","2.08","2200000","","","/mutual-fund/holding-history/7893/2710663/"
"Bosch Ltd","BOSCHLTD","500530","Consumer Cyclical","4008750000","3926875000","2.01","125000","","","/mutual-fund/holding-history/7893/214/"
"FSN E-Commerce Ventures Ltd","NYKAA","543384","Consumer Cyclical","3686000000","3861940000","1.97","19000000","6668974","54.08","/mutual-fund/holding-history/7893/705188/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","3719100000","3731000000","1.91","700000","-50000","-6.67","/mutual-fund/holding-history/7893/1784/"
"Eicher Motors Ltd","EICHERMOT","505200","Consumer Cyclical","3598087500","3600113000","1.84","675000","","","/mutual-fund/holding-history/7893/360/"
"Crompton Greaves Consumer Electricals Ltd","CROMPTON","539876","Consumer Cyclical","3292350000","3317260000","1.69","9400000","","","/mutual-fund/holding-history/7893/2020/"
"Chalet Hotels Ltd","CHALET","542399","Consumer Cyclical","3115358901","3211959000","1.64","3500010","451097","14.8","/mutual-fund/holding-history/7893/127257/"
"CIE Automotive India Ltd","CIEINDIA","532756","Consumer Cyclical","3191450000","3193225000","1.63","7100000","800000","12.7","/mutual-fund/holding-history/7893/816/"
"Sapphire Foods India Ltd","SAPPHIRE","543397","Consumer Cyclical","3022100000","2990140000","1.53","9400000","125203","1.35","/mutual-fund/holding-history/7893/716755/"
"Metropolis Healthcare Ltd","METROPOLIS","542650","Healthcare","2880140000","2856170000","1.46","1700000","","","/mutual-fund/holding-history/7893/139598/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","3118080000","2837632000","1.45","12800000","","","/mutual-fund/holding-history/7893/721/"
"Escorts Kubota Ltd","ESCORTS","500495","Industrials","2588850000","2740403000","1.4","825000","","","/mutual-fund/holding-history/7893/387/"
"Restaurant Brands Asia Ltd Ordinary Shares","RBA","543248","Consumer Cyclical","1526000000","1626000000","0.83","20000000","1150000","6.1","/mutual-fund/holding-history/7893/357598/"
"Sundaram Fasteners Ltd","SUNDRMFAST","500403","Consumer Cyclical","1539720000","1616738000","0.83","1575000","750000","90.91","/mutual-fund/holding-history/7893/1313/"
"Birlasoft Ltd","BSOFT","532400","Technology","149319950.25","141461000","0.07","353211","-2646789","-88.23","/mutual-fund/holding-history/7893/763/"
