"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","13167395498.4","13288329000","5.23","6832397","","","/mutual-fund/holding-history/21594/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","9751571351.6","9977229000","3.93","6900836","","","/mutual-fund/holding-history/21594/584/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","5331374236","5303943000","2.09","2857420","720000","33.69","/mutual-fund/holding-history/21594/187/"
"Infosys Ltd","INFY","500209","Technology","5419858784.6","5204383000","2.05","3330379","","","/mutual-fund/holding-history/21594/630/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","5182875000","5066850000","1.99","4250000","","","/mutual-fund/holding-history/21594/140/"
"Mphasis Ltd","MPHASIS","526299","Technology","4123375319","3935432000","1.55","1537999","","","/mutual-fund/holding-history/21594/881/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","4161926191.5","3910051000","1.54","2602017","","","/mutual-fund/holding-history/21594/845/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","3567806833.8","3491241000","1.37","1682769","","","/mutual-fund/holding-history/21594/758/"
"State Bank of India","SBIN","500112","Financial Services","3327655926.4","3419857000","1.35","4210091","","","/mutual-fund/holding-history/21594/1193/"
"Fortis Healthcare Ltd","FORTIS","532843","Healthcare","3601605254.1","3343164000","1.32","4733349","","","/mutual-fund/holding-history/21594/424/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","3324695623.5","3172525000","1.25","1938485","","","/mutual-fund/holding-history/21594/531/"
"IndusInd Bank Ltd","INDUSINDBK","532187","Financial Services","3188279878.75","3077891000","1.21","3767539","","","/mutual-fund/holding-history/21594/625/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","3082040000","2925520000","1.15","2600000","","","/mutual-fund/holding-history/21594/276825/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","2906856676.5","2901411000","1.14","837735","","","/mutual-fund/holding-history/21594/1372/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","2688540046","2840937000","1.12","6911414","","","/mutual-fund/holding-history/21594/556/"
"Escorts Kubota Ltd","ESCORTS","500495","Industrials","2694844933.2","2753620000","1.08","828979","","","/mutual-fund/holding-history/21594/387/"
"Lupin Ltd","LUPIN","500257","Healthcare","2722860000","2740780000","1.08","1400000","","","/mutual-fund/holding-history/21594/804/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","2749630515","2736918000","1.08","1926186","","","/mutual-fund/holding-history/21594/1127/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","3099228855.2","2695605000","1.06","1837996","","","/mutual-fund/holding-history/21594/1071/"
"LIC Housing Finance Ltd","LICHSGFIN","500253","Financial Services","2719621092.3","2692982000","1.06","4515018","","","/mutual-fund/holding-history/21594/790/"
