"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Max Financial Services Ltd","MFSL","500271","Financial Services","40734333365","38377105000","4.81","25538767","","","/mutual-fund/holding-history/8748/845/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","26347289000","25828320000","3.24","127825000","","","/mutual-fund/holding-history/8748/412/"
"Coforge Ltd","COFORGE","532541","Technology","5446469560","25686728000","3.22","3004120","","","/mutual-fund/holding-history/8748/942/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","23116269924","23402147000","2.94","9466122","100000","1.07","/mutual-fund/holding-history/8748/153/"
"Ipca Laboratories Ltd","IPCALAB","524494","Healthcare","22132436111.5","23212584000","2.91","16291819","193676","1.2","/mutual-fund/holding-history/8748/642/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","21690342198","22825948000","2.86","55530830","","","/mutual-fund/holding-history/8748/556/"
"Indian Bank","INDIANB","532814","Financial Services","23034051250","22724474000","2.85","36854482","","","/mutual-fund/holding-history/8748/609/"
"AU Small Finance Bank Ltd","AUBANK","540611","Financial Services","23288704670","20430679000","2.56","29479373","987789","3.47","/mutual-fund/holding-history/8748/54902/"
"Apollo Tyres Ltd","APOLLOTYRE","500877","Consumer Cyclical","18583374153.2","19712369000","2.47","41892187","","","/mutual-fund/holding-history/8748/94/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","18689970632.35","18980903000","2.38","24655327","-6785702","-21.58","/mutual-fund/holding-history/8748/606/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","20138724903","18818618000","2.36","3337818","","","/mutual-fund/holding-history/8748/1023/"
"Tata Communications Ltd","TATACOMM","500483","Communication Services","18906653312.4","18602566000","2.33","11098059","","","/mutual-fund/holding-history/8748/1357/"
"Fortis Healthcare Ltd","FORTIS","532843","Healthcare","19310533936.05","17994630000","2.26","25477319","","","/mutual-fund/holding-history/8748/424/"
"Marico Ltd","MARICO","531642","Consumer Defensive","15214056350","15801842000","1.98","22055750","","","/mutual-fund/holding-history/8748/840/"
