"Name","Holding Type","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %"
"ICICI Pru All Seasons Bond Dir Gr","FO","34325833000","13.17","858143681","",""
"ICICI Pru Banking & Fin Svcs Dir Gr","FO","17203620000","6.6","115028219","7013256","6.49"
"ICICI Pru Technology Dir Gr","FO","16834729000","6.46","76863891","4799202","6.66"
"ICICI Pru Short Term Dir Gr","FO","16669494000","6.39","254324855","-7700209","-2.94"
"ICICI Pru Infrastructure Dir Gr","FO","16318125000","6.26","78002508","5167700","7.1"
"ICICI Prudential Energy Opps Dir Gr","FO","13190489000","5.06","1299555519","-198219790","-13.23"
"ICICI Pru Focused Equity Dir Gr","FO","12763348000","4.9","124471896","15564703","14.29"
"ICICI Pru Large & Mid Cap Dir Gr","FO","12459493000","4.78","11298053","1420410","14.38"
"ICICI Pru Innovt Dir Gr","FO","11721771000","4.5","638788585","29631748","4.86"
"ICICI Pru Savings Dir Gr","FO","10406065000","3.99","18953614","-5502590","-22.5"
"ICICI Pru Banking & PSU Debt Dir Gr","FO","9245856000","3.55","270698889","-14795570","-5.18"
"ICICI Pru Gilt Dir Gr","FO","8863645000","3.4","79510904","",""
"ICICI Prudential Eq Min Var Dir Gr","FO","8276557000","3.17","792015068","",""
"ICICI Pru Corporate Bond Dir Gr","FO","8181872000","3.14","261806499","-32310386","-10.99"
"ICICI Pru Pharma Healthcare Diag Dir Gr","FO","7838469000","3.01","189015407","6636911","3.64"
"ICICI Pru Floating Interest Dir Gr","FO","7705235000","2.96","16691417","",""
"ICICI Pru Bharat Consumption Dir Cum","FO","5619377000","2.16","212533174","",""
"ICICI Pru Commodities Dir Gr","FO","5385019000","2.07","124595546","",""
"ICICI Pru Bond Dir Gr","FO","4866827000","1.87","113486331","",""
"ICICI Pru Medium Term Bond Dir Gr","FO","4023298000","1.54","81861202","",""
"ICICI Pru Ultra Short Term Dir Gr","FO","4012388000","1.54","134670092","50048757","59.14"
"ICICI Pru FMCG Dir Gr","FO","3885678000","1.49","7404677","",""
"ICICI Pru Trsptn & Logistics Dir Gr","FO","3849668000","1.48","207082740","",""
"ICICI Pru Exports and Services Dir Gr","FO","2896287000","1.11","16355810","",""
"ICICI Pru Money Market Dir Gr","FO","2042933000","0.78","5339747","-2628698","-32.99"
"ICICI Pru Credit Risk Dir Gr","FO","1055044000","0.4","30246522","",""
"ICICI Prudential Housing Opps Dir Gr","FO","1052547000","0.4","59769875","59769875","New"
"ICICI Pru Quant Dir Gr","FO","285711000","0.11","12395271","",""
