"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","9327307478.2","9500790000","8.14","6571303","-240000","-3.52","/mutual-fund/holding-history/10218/584/"
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","7266391377.3","7337316000","6.29","3772593","-130000","-3.33","/mutual-fund/holding-history/10218/533/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","6927348928","6791764000","5.82","5696833","-314374","-5.23","/mutual-fund/holding-history/10218/140/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","5151686106.6","5227405000","4.48","3116002","275518","9.7","/mutual-fund/holding-history/10218/1316/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","5126935262.4","5134127000","4.4","2765934","428507","18.33","/mutual-fund/holding-history/10218/187/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","5096951400","5012002000","4.3","447101","-40000","-8.21","/mutual-fund/holding-history/10218/1443/"
"Larsen & Toubro Ltd","LT","500510","Industrials","4695674974.8","4776120000","4.09","1299589","-251981","-16.24","/mutual-fund/holding-history/10218/800/"
"Infosys Ltd","INFY","500209","Technology","4888523480","4658107000","3.99","2980807","734755","32.71","/mutual-fund/holding-history/10218/630/"
"Pidilite Industries Ltd","PIDILITIND","500331","Basic Materials","4095315027","4218453000","3.62","1357638","75250","5.87","/mutual-fund/holding-history/10218/1037/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","4225089428","4193803000","3.59","2951512","","","/mutual-fund/holding-history/10218/1127/"
"Lupin Ltd","LUPIN","500257","Healthcare","4068793875.2","4060704000","3.48","2074222","422829","25.6","/mutual-fund/holding-history/10218/804/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","3843023151.8","3810509000","3.27","1280069","245000","23.67","/mutual-fund/holding-history/10218/807/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","3746848480","3613140000","3.1","755413","150650","24.91","/mutual-fund/holding-history/10218/94155/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","3632898601.2","3455600000","2.96","2299594","-517000","-18.36","/mutual-fund/holding-history/10218/845/"
"NTPC Ltd","NTPC","532555","Utilities","3406735471.1","3392005000","2.91","10158746","594238","6.21","/mutual-fund/holding-history/10218/959/"
"Britannia Industries Ltd","BRITANNIA","500825","Consumer Defensive","3415208342","3390291000","2.91","615242","104380","20.43","/mutual-fund/holding-history/10218/220/"
"TVS Motor Co Ltd","TVSMOTOR","532343","Consumer Cyclical","3065671690.4","3064019000","2.63","1101848","-121750","-9.95","/mutual-fund/holding-history/10218/1430/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","3085795875","3051343000","2.62","933675","-102163","-9.86","/mutual-fund/holding-history/10218/297/"
"Vedanta Ltd","VEDL","500295","Basic Materials","3012520603.45","2851469000","2.44","6546823","","","/mutual-fund/holding-history/10218/1289/"
"Adani Ports & Special Economic Zone Ltd","ADANIPORTS","532921","Industrials","2614627579.5","2687209000","2.3","1875495","198000","11.8","/mutual-fund/holding-history/10218/27/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","3121380167.9","2680691000","2.3","1827827","214500","13.3","/mutual-fund/holding-history/10218/1071/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","2454935634","2465411000","2.11","1360452","-175000","-11.4","/mutual-fund/holding-history/10218/60957/"
"Info Edge (India) Ltd","NAUKRI","532777","Communication Services","2533660110","2445436000","2.1","1713090","-16875","-0.98","/mutual-fund/holding-history/10218/913/"
"Page Industries Ltd","PAGEIND","532827","Consumer Cyclical","2396717785","2429987000","2.08","52393","-5918","-10.15","/mutual-fund/holding-history/10218/994/"
"Phoenix Mills Ltd","PHOENIXLTD","503100","Real Estate","2514223119.6","2385269000","2.04","1551798","-182000","-10.5","/mutual-fund/holding-history/10218/1036/"
"Star Health and Allied Insurance Co Ltd","STARHEALTH","543412","Financial Services","2108442205.2","2306946000","1.98","4829784","949812","24.48","/mutual-fund/holding-history/10218/746520/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","2117344770","2229644000","1.91","13847000","13847000","New","/mutual-fund/holding-history/10218/1366/"
"Godrej Consumer Products Ltd","GODREJCP","532424","Consumer Defensive","2134925100","2207900000","1.89","1793000","107500","6.38","/mutual-fund/holding-history/10218/476/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","2185053067.57","2103324000","1.8","8826001","3956000","81.23","/mutual-fund/holding-history/10218/589490/"
"Hyundai Motor India Ltd","HYUNDAI","544274","Consumer Cyclical","1694550397","1609013000","1.38","871055","871055","New","/mutual-fund/holding-history/10218/2710663/"
