"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","10836772205","10624608000","4.91","862457","","","/mutual-fund/holding-history/6281/842/"
"Larsen & Toubro Ltd","LT","500510","Industrials","8742852813.6","8892632000","4.11","2419698","117032","5.08","/mutual-fund/holding-history/6281/800/"
"FSN E-Commerce Ventures Ltd","NYKAA","543384","Consumer Cyclical","8202061563.99","8588692000","3.97","42254709","-9179641","-17.85","/mutual-fund/holding-history/6281/705188/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","7424881400","7562980000","3.49","5231000","","","/mutual-fund/holding-history/6281/584/"
"SBI Cards and Payment Services Ltd Ordinary Shares","SBICARD","543066","Financial Services","8119911318.75","7516804000","3.47","8161125","121221","1.51","/mutual-fund/holding-history/6281/188792/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","6938274042","6804714000","3.14","5707695","968719","20.44","/mutual-fund/holding-history/6281/140/"
"Alkem Laboratories Ltd","ALKEM","539523","Healthcare","5708815822.5","5998227000","2.77","1176469","139541","13.46","/mutual-fund/holding-history/6281/1878/"
"Motherson Sumi Wiring India Ltd","MSUMI","543498","Consumer Cyclical","6041064207.65","5718018000","2.64","98790911","111295","0.11","/mutual-fund/holding-history/6281/856676/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","5718720000","5602940000","2.59","1400000","","","/mutual-fund/holding-history/6281/53208/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","5573444490","5534107000","2.56","3894790","","","/mutual-fund/holding-history/6281/1127/"
"Page Industries Ltd","PAGEIND","532827","Consumer Cyclical","5242931920","5311067000","2.45","114512","","","/mutual-fund/holding-history/6281/994/"
"Sona BLW Precision Forgings Ltd","SONACOMS","543300","Consumer Cyclical","4684739658","5258490000","2.43","9667230","550204","6.03","/mutual-fund/holding-history/6281/547977/"
"IndusInd Bank Ltd","INDUSINDBK","532187","Financial Services","4421323144","4463668000","2.06","5463820","1824016","50.11","/mutual-fund/holding-history/6281/625/"
"Vedanta Ltd","VEDL","500295","Basic Materials","4233609250","4005971000","1.85","9197500","","","/mutual-fund/holding-history/6281/1289/"
"Bharat Forge Ltd","BHARATFORG","500493","Consumer Cyclical","4082663510.2","3883318000","1.79","3129437","-273677","-8.04","/mutual-fund/holding-history/6281/184/"
"AIA Engineering Ltd","AIAENG","532683","Industrials","3777416372","3865718000","1.78","1105154","36027","3.37","/mutual-fund/holding-history/6281/46/"
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","3717565200","3754046000","1.73","1930200","","","/mutual-fund/holding-history/6281/533/"
"PI Industries Ltd","PIIND","523642","Basic Materials","3851504604.6","3521773000","1.63","921038","","","/mutual-fund/holding-history/6281/1038/"
"Shree Cement Ltd","SHREECEM","500387","Basic Materials","3478213190","3467084000","1.6","117151","-8000","-6.39","/mutual-fund/holding-history/6281/1226/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","3417951915","3363948000","1.55","971285","14001","1.46","/mutual-fund/holding-history/6281/1372/"
"Infosys Ltd","INFY","500209","Technology","3477516151.2","3309167000","1.53","2117596","","","/mutual-fund/holding-history/6281/630/"
"Bajaj Finserv Ltd","BAJAJFINSV","532978","Financial Services","3226346702.8","3249055000","1.5","1610516","","","/mutual-fund/holding-history/6281/147/"
"UPL Ltd","UPL","512070","Basic Materials","2925000000","2825550000","1.3","4500000","","","/mutual-fund/holding-history/6281/1455/"
"Eicher Motors Ltd","EICHERMOT","505200","Consumer Cyclical","2659217086","2656478000","1.23","498074","","","/mutual-fund/holding-history/6281/360/"
"NTPC Ltd","NTPC","532555","Utilities","2429248500","2419106000","1.12","7245000","","","/mutual-fund/holding-history/6281/959/"
"Indian Bank","INDIANB","532814","Financial Services","2458400947.2","2392440000","1.1","3880052","-975861","-20.1","/mutual-fund/holding-history/6281/609/"
"United Breweries Ltd","UBL","532478","Consumer Defensive","2428919285","2382872000","1.1","1205419","","","/mutual-fund/holding-history/6281/1437/"
"Nestle India Ltd","NESTLEIND","500790","Consumer Defensive","2171115111.6","2204605000","1.02","920042","204621","28.6","/mutual-fund/holding-history/6281/930/"
"Gujarat Gas Ltd","GUJGASLTD","539336","Utilities","2201554743.25","2124437000","0.98","4617839","304395","7.06","/mutual-fund/holding-history/6281/515/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","2084736292.8","2106444000","0.97","897008","230000","34.48","/mutual-fund/holding-history/6281/560/"
"Sun TV Network Ltd","SUNTV","532733","Communication Services","2102869167","2105210000","0.97","3343460","315899","10.43","/mutual-fund/holding-history/6281/1318/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","1923852144","1935472000","0.89","363128","-36666","-9.17","/mutual-fund/holding-history/6281/1784/"
"State Bank of India","SBIN","500112","Financial Services","1873491200","1917637000","0.89","2360750","","","/mutual-fund/holding-history/6281/1193/"
"Tata Motors Ltd","TATAMOTORS","500570","Consumer Cyclical","1791540779.4","1902884000","0.88","2644731","-275000","-9.42","/mutual-fund/holding-history/6281/1362/"
"Star Health and Allied Insurance Co Ltd","STARHEALTH","543412","Financial Services","1683619247.85","1842127000","0.85","3856647","679116","21.37","/mutual-fund/holding-history/6281/746520/"
"ACC Ltd","ACC","500410","Basic Materials","1776708621.9","1794724000","0.83","953221","","","/mutual-fund/holding-history/6281/22/"
"Syngene International Ltd","SYNGENE","539268","Healthcare","1817605244","1785977000","0.82","2762318","","","/mutual-fund/holding-history/6281/1771/"
"TVS Motor Co Ltd","TVSMOTOR","532343","Consumer Cyclical","1750963890.6","1748826000","0.81","628893","","","/mutual-fund/holding-history/6281/1430/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","1704778490","1685745000","0.78","515818","4623","0.9","/mutual-fund/holding-history/6281/297/"
"AWL Agri Business Ltd","AWL","543458","Consumer Defensive","1572900000","1650000000","0.76","6000000","","","/mutual-fund/holding-history/6281/755501/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","1588675817","1592193000","0.74","857770","","","/mutual-fund/holding-history/6281/187/"
"Kalpataru Projects International Ltd","KPIL","522287","Industrials","1650008583","1566573000","0.72","1375695","-236325","-14.66","/mutual-fund/holding-history/6281/712/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","1535682535.8","1557689000","0.72","928522","100000","12.07","/mutual-fund/holding-history/6281/1316/"
"Gland Pharma Ltd","GLAND","543245","Healthcare","1704016188","1512967000","0.7","952390","","","/mutual-fund/holding-history/6281/338662/"
"NCC Ltd","NCC","500294","Industrials","1475336416.32","1504424000","0.69","6507306","","","/mutual-fund/holding-history/6281/918/"
"Oberoi Realty Ltd","OBEROIRLTY","533273","Real Estate","1655745867.1","1499937000","0.69","858923","544840","173.47","/mutual-fund/holding-history/6281/962/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","1486248307.95","1469890000","0.68","2320269","","","/mutual-fund/holding-history/6281/549/"
"Ratnamani Metals & Tubes Ltd","RATNAMANI","520111","Basic Materials","1457084761.2","1451308000","0.67","511204","24420","5.02","/mutual-fund/holding-history/6281/1114/"
"Rategain Travel Technologies Ltd","RATEGAIN","543417","Technology","1411059368.7","1450610000","0.67","3268611","","","/mutual-fund/holding-history/6281/747240/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","1376575752.75","1433417000","0.66","3487209","-897173","-20.46","/mutual-fund/holding-history/6281/556/"
"Dr Reddy's Laboratories Ltd","DRREDDY","500124","Healthcare","1502599862.4","1406909000","0.65","1124448","700000","164.92","/mutual-fund/holding-history/6281/346/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","1266823517.05","1333664000","0.62","8282599","","","/mutual-fund/holding-history/6281/1366/"
"Dabur India Ltd","DABUR","500096","Consumer Defensive","1265071964.4","1293872000","0.6","2679102","1233880","85.38","/mutual-fund/holding-history/6281/303/"
"Zee Entertainment Enterprises Ltd","ZEEL","505537","Communication Services","1307360697.63","1230468000","0.57","9434659","4005557","73.78","/mutual-fund/holding-history/6281/1537/"
"CIE Automotive India Ltd","CIEINDIA","532756","Consumer Cyclical","1226220178.4","1223364000","0.56","2720098","67626","2.55","/mutual-fund/holding-history/6281/816/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","1204135765","1212572000","0.56","490483","50000","11.35","/mutual-fund/holding-history/6281/153/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","1248890800","1177043000","0.54","719200","","","/mutual-fund/holding-history/6281/531/"
"IndiaMART InterMESH Ltd","INDIAMART","542726","Communication Services","1198690255.5","1130360000","0.52","484613","173930","55.98","/mutual-fund/holding-history/6281/149049/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","1086582226.5","1089527000","0.5","1402494","-330000","-19.05","/mutual-fund/holding-history/6281/65394/"
"Gujarat Narmada Valley Fertilizers & Chemicals Ltd","GNFC","500670","Basic Materials","1064868091.2","1055016000","0.49","1970336","","","/mutual-fund/holding-history/6281/473/"
"ITC Ltd","ITC","500875","Consumer Defensive","1002813022.5","1005941000","0.46","2406270","874491","57.09","/mutual-fund/holding-history/6281/647/"
"Zydus Lifesciences Ltd","ZYDUSLIFE","532321","Healthcare","1014505990.2","982189000","0.45","1056117","","","/mutual-fund/holding-history/6281/229/"
"MRF Ltd","MRF","500290","Consumer Cyclical","944357910","961918000","0.44","6927","-4677","-40.31","/mutual-fund/holding-history/6281/883/"
"Tech Mahindra Ltd","TECHM","532755","Technology","1048229967.7","957355000","0.44","608269","","","/mutual-fund/holding-history/6281/1374/"
"Nuvoco Vista Corp Ltd","NUVOCO","543334","Basic Materials","928997226.15","943231000","0.44","2635827","383995","17.05","/mutual-fund/holding-history/6281/622855/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","945118553","922684000","0.43","491993","","","/mutual-fund/holding-history/6281/61147/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","976308394","838617000","0.39","571810","","","/mutual-fund/holding-history/6281/1071/"
"UPL Ltd Ordinary Shares (Partly Paid Rs.1)","UPLPP1","890209","Basic Materials","867270733.6","822042000","0.38","2005714","-164718","-7.59","/mutual-fund/holding-history/6281/2889731/"
"NMDC Ltd","NMDC","526371","Basic Materials","786271021.54","812530000","0.38","11416742","2452167","27.35","/mutual-fund/holding-history/6281/949/"
"Suprajit Engineering Ltd","SUPRAJIT","532509","Consumer Cyclical","856462616.75","777699000","0.36","1857635","1857635","New","/mutual-fund/holding-history/6281/1323/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","769872613.5","773329000","0.36","426735","","","/mutual-fund/holding-history/6281/60957/"
"SKF India Ltd","SKFINDIA","500472","Industrials","748132426.6","766228000","0.35","163166","","","/mutual-fund/holding-history/6281/1251/"
"Mphasis Ltd","MPHASIS","526299","Technology","789798518.7","747858000","0.35","292269","292269","New","/mutual-fund/holding-history/6281/881/"
"Pidilite Industries Ltd","PIDILITIND","500331","Basic Materials","726226291.2","747393000","0.35","240536","","","/mutual-fund/holding-history/6281/1037/"
"Tata Communications Ltd","TATACOMM","500483","Communication Services","754100172","738676000","0.34","440685","78591","21.7","/mutual-fund/holding-history/6281/1357/"
"KSB Ltd","KSB","500249","Industrials","710809715","733968000","0.34","867370","21287","2.52","/mutual-fund/holding-history/6281/768/"
"Pricol Ltd","PRICOLLTD","540293","Consumer Cyclical","706715659.65","720166000","0.33","1601259","254325","18.88","/mutual-fund/holding-history/6281/1072/"
"International Gemmological Institute (India) Ltd","IGIL","544311","Basic Materials","679990617","716662000","0.33","1842793","76750","4.35","/mutual-fund/holding-history/6281/2845097/"
"Oil & Natural Gas Corp Ltd","ONGC","500312","Energy","739588102.5","701023000","0.32","2928250","","","/mutual-fund/holding-history/6281/974/"
"Container Corporation of India Ltd","CONCOR","531344","Industrials","664488000","690272000","0.32","880000","","","/mutual-fund/holding-history/6281/279/"
"ICICI Prudential Life Insurance Co Ltd","ICICIPRULI","540133","Financial Services","613692600.5","635023000","0.29","958670","","","/mutual-fund/holding-history/6281/4714/"
"Orient Electric Ltd Ordinary Shares","ORIENTELEC","541301","Consumer Cyclical","585038898.5","597253000","0.28","2632346","","","/mutual-fund/holding-history/6281/94299/"
"Asian Paints Ltd","ASIANPAINT","500820","Basic Materials","595240946.4","593926000","0.27","262904","","","/mutual-fund/holding-history/6281/117/"
"Rain Industries Ltd","RAIN","500339","Basic Materials","464874896.3","449581000","0.21","3186257","63410","2.03","/mutual-fund/holding-history/6281/1091/"
"V-Guard Industries Ltd","VGUARD","532953","Industrials","436651492.5","443669000","0.2","1169550","185528","18.85","/mutual-fund/holding-history/6281/1476/"
"LIC Housing Finance Ltd","LICHSGFIN","500253","Financial Services","373236249.6","370041000","0.17","620406","","","/mutual-fund/holding-history/6281/790/"
"Procter & Gamble Hygiene and Health Care Ltd","PGHH","500459","Consumer Defensive","291335200","296131000","0.14","21800","","","/mutual-fund/holding-history/6281/1032/"
"Sharda Motor Industries Ltd","SHARDAMOTR","535602","Consumer Cyclical","222960316.5","223583000","0.1","117465","14881","14.51","/mutual-fund/holding-history/6281/1769/"
"Divgi TorqTransfer Systems Ltd","DIVGIITTS","543812","Consumer Cyclical","226417070","207767000","0.1","373010","","","/mutual-fund/holding-history/6281/1381687/"
"Vedant Fashions Ltd","MANYAVAR","543463","Consumer Cyclical","9207520.3","9411000","0","11803","11803","New","/mutual-fund/holding-history/6281/816269/"
