"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","24048232320","24443851000","4.11","16906800","","","/mutual-fund/holding-history/7136/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","22484393502.5","21725994000","3.65","15290305","-322000","-2.06","/mutual-fund/holding-history/7136/1127/"
"ICICI Prudential Silver ETF","SILVERIETF","543452","","22348748144.17","20649966000","3.47","209985419","14730000","7.54","/mutual-fund/holding-history/7136/779601/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","20586644856","19900100000","3.35","1615399","-72800","-4.31","/mutual-fund/holding-history/7136/842/"
"ICICI Pru Gold ETF","GOLDIETF","533244","","18811732276.32","18474846000","3.11","224590882","","","/mutual-fund/holding-history/7136/1601/"
"Larsen & Toubro Ltd","LT","500510","Industrials","16012797888","16274511000","2.74","4428318","-365950","-7.63","/mutual-fund/holding-history/7136/800/"
"SBI Cards and Payment Services Ltd Ordinary Shares","SBICARD","543066","Financial Services","16584289460.1","15605006000","2.62","16942626","","","/mutual-fund/holding-history/7136/188792/"
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","15487024966.2","15260267000","2.57","7846299","","","/mutual-fund/holding-history/7136/533/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","13285603436.4","13027715000","2.19","10927458","1148199","11.74","/mutual-fund/holding-history/7136/140/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","12705173281.5","11954908000","2.01","2242947","220002","10.88","/mutual-fund/holding-history/7136/1784/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","11758003628.5","11931984000","2.01","3445165","28002","0.82","/mutual-fund/holding-history/7136/1372/"
"NTPC Ltd","NTPC","532555","Utilities","11831266497.6","11927717000","2.01","35722423","1000000","2.88","/mutual-fund/holding-history/7136/959/"
"Infosys Ltd","INFY","500209","Technology","11418538866","11121759000","1.87","7117015","","","/mutual-fund/holding-history/7136/630/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","9813780382.4","9228971000","1.55","2306032","","","/mutual-fund/holding-history/7136/53208/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","8778620809","8802758000","1.48","5247233","188551","3.73","/mutual-fund/holding-history/7136/1316/"
"State Bank of India","SBIN","500112","Financial Services","7829371756.5","7952233000","1.34","9789774","924083","10.42","/mutual-fund/holding-history/7136/1193/"
"Oil & Natural Gas Corp Ltd","ONGC","500312","Energy","7650625993.62","7536973000","1.27","31482762","506672","1.64","/mutual-fund/holding-history/7136/974/"
"Vedanta Ltd","VEDL","500295","Basic Materials","6929837164.2","6839544000","1.15","15703234","2985370","23.47","/mutual-fund/holding-history/7136/1289/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","6764689404","6405783000","1.08","3451020","","","/mutual-fund/holding-history/7136/187/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","6669692560","6284681000","1.06","3029200","","","/mutual-fund/holding-history/7136/758/"
"Alkem Laboratories Ltd","ALKEM","539523","Healthcare","5860896788","6179668000","1.04","1212056","108525","9.83","/mutual-fund/holding-history/7136/1878/"
"Eicher Motors Ltd","EICHERMOT","505200","Consumer Cyclical","6263509175","5984134000","1.01","1121990","","","/mutual-fund/holding-history/7136/360/"
"Bajaj Finserv Ltd","BAJAJFINSV","532978","Financial Services","5792840206.8","5807522000","0.98","2878716","","","/mutual-fund/holding-history/7136/147/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","5592805763.6","5770722000","0.97","2457404","474781","23.95","/mutual-fund/holding-history/7136/560/"
"ITC Ltd","ITC","500875","Consumer Defensive","5197965733.6","5213555000","0.88","12471127","2623472","26.64","/mutual-fund/holding-history/7136/647/"
"TVS Motor Co Ltd","TVSMOTOR","532343","Consumer Cyclical","5375240761","5196409000","0.87","1868674","","","/mutual-fund/holding-history/7136/1430/"
