"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","8529943320.4","8676980000","5.75","6001508","","","/mutual-fund/holding-history/6830/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","6282103683","6074339000","4.02","4274994","","","/mutual-fund/holding-history/6830/1127/"
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","5544614300.4","5456244000","3.61","2805411","","","/mutual-fund/holding-history/6830/533/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","4876475419.2","4787330000","3.17","4015543","-185509","-4.42","/mutual-fund/holding-history/6830/140/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","4425814467.2","4449153000","2.95","2652094","605954","29.61","/mutual-fund/holding-history/6830/1316/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","4199356161","4336946000","2.87","1846845","999030","117.84","/mutual-fund/holding-history/6830/560/"
"Infosys Ltd","INFY","500209","Technology","4284937731.2","4164483000","2.76","2664928","465555","21.17","/mutual-fund/holding-history/6830/630/"
"Larsen & Toubro Ltd","LT","500510","Industrials","3344339961.9","3400787000","2.25","925359","","","/mutual-fund/holding-history/6830/800/"
"NTPC Ltd","NTPC","532555","Utilities","3314581575","3341098000","2.21","10006284","4014071","66.99","/mutual-fund/holding-history/6830/959/"
"State Bank of India","SBIN","500112","Financial Services","3093749600","3141316000","2.08","3867187","749737","24.05","/mutual-fund/holding-history/6830/1193/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","2654277880","2559334000","1.7","207755","","","/mutual-fund/holding-history/6830/842/"
"AWL Agri Business Ltd","AWL","543458","Consumer Defensive","2270004845.75","2417237000","1.6","8789951","","","/mutual-fund/holding-history/6830/755501/"
"Tata Chemicals Ltd","TATACHEM","500770","Basic Materials","2380241626.35","2293133000","1.52","2584831","","","/mutual-fund/holding-history/6830/1355/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","2197095964.8","2079042000","1.38","1120053","","","/mutual-fund/holding-history/6830/187/"
"AIA Engineering Ltd","AIAENG","532683","Industrials","1929440844","2043291000","1.35","584148","","","/mutual-fund/holding-history/6830/46/"
"Alkem Laboratories Ltd","ALKEM","539523","Healthcare","1866110899.5","1963142000","1.3","385043","15094","4.08","/mutual-fund/holding-history/6830/1878/"
"Oil & Natural Gas Corp Ltd","ONGC","500312","Energy","1988870664.8","1952976000","1.29","8157796","","","/mutual-fund/holding-history/6830/974/"
"Oil India Ltd","OIL","533106","Energy","2024358674.65","1945718000","1.29","4558853","1659477","57.24","/mutual-fund/holding-history/6830/965/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","2013073308.6","1884173000","1.25","1004678","308125","44.24","/mutual-fund/holding-history/6830/61147/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","1746870094.3","1799047000","1.19","11172818","-2087695","-15.74","/mutual-fund/holding-history/6830/1366/"
"LIC Housing Finance Ltd","LICHSGFIN","500253","Financial Services","1840435874.55","1794993000","1.19","3009461","","","/mutual-fund/holding-history/6830/790/"
