"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","39314786475","38715609000","7.36","19906221","","","/mutual-fund/holding-history/7818/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","36225790411.8","36824332000","7","25469866","","","/mutual-fund/holding-history/7818/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","37992968909.9","36721454000","6.98","25843799","1399468","5.73","/mutual-fund/holding-history/7818/1127/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","25605507149.6","25120874000","4.78","21071023","200000","0.96","/mutual-fund/holding-history/7818/140/"
"Infosys Ltd","INFY","500209","Technology","23600154003.8","22979600000","4.37","14705062","543684","3.84","/mutual-fund/holding-history/7818/630/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","20056304384.4","20146372000","3.83","12009044","300000","2.56","/mutual-fund/holding-history/7818/1316/"
"State Bank of India","SBIN","500112","Financial Services","19232098400","19527792000","3.71","24040123","3672331","18.03","/mutual-fund/holding-history/7818/1193/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","19630249552","19008414000","3.61","1543016","","","/mutual-fund/holding-history/7818/842/"
"Larsen & Toubro Ltd","LT","500510","Industrials","15756728139","16024006000","3.05","4360155","278566","6.82","/mutual-fund/holding-history/7818/800/"
"ITC Ltd","ITC","500875","Consumer Defensive","14061186701.1","14101665000","2.68","33732006","10493892","45.16","/mutual-fund/holding-history/7818/647/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","14589404658","13809716000","2.63","7439778","915447","14.03","/mutual-fund/holding-history/7818/187/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","12444387482","12844778000","2.44","5469820","560491","11.42","/mutual-fund/holding-history/7818/560/"
"NTPC Ltd","NTPC","532555","Utilities","12612120554","12711099000","2.42","38068580","10251133","36.85","/mutual-fund/holding-history/7818/959/"
"Dr Reddy's Laboratories Ltd","DRREDDY","500124","Healthcare","12477825572.8","11664865000","2.22","9322942","918125","10.92","/mutual-fund/holding-history/7818/346/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","11120107031.2","11291266000","2.15","3260168","1081188","49.62","/mutual-fund/holding-history/7818/1372/"
"Oil & Natural Gas Corp Ltd","ONGC","500312","Energy","11347985547","11179867000","2.13","46699529","892507","1.95","/mutual-fund/holding-history/7818/974/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","9743549846.4","9595295000","1.82","5294832","-1370625","-20.56","/mutual-fund/holding-history/7818/60957/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","9765526424.5","9094922000","1.73","6052387","-500000","-7.63","/mutual-fund/holding-history/7818/845/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","9133174350","8599156000","1.63","1613350","1613350","New","/mutual-fund/holding-history/7818/1784/"
"Tata Motors Ltd","TATAMOTORS","500570","Consumer Cyclical","7342825052.5","7804938000","1.48","10847725","-1686850","-13.46","/mutual-fund/holding-history/7818/1362/"
"Dabur India Ltd","DABUR","500096","Consumer Defensive","6883625175","6940390000","1.32","14370825","1201712","9.13","/mutual-fund/holding-history/7818/303/"
"Viatris Inc","","","Healthcare","","6526939000","1.24","8686950","","",""
"Hero MotoCorp Ltd","HEROMOTOCO","500182","Consumer Cyclical","6314121784.8","6330133000","1.2","1468947","214491","17.1","/mutual-fund/holding-history/7818/540/"
"TVS Motor Co Ltd","TVSMOTOR","532343","Consumer Cyclical","6412570821.3","6202677000","1.18","2230537","-28460","-1.26","/mutual-fund/holding-history/7818/1430/"
"Lupin Ltd","LUPIN","500257","Healthcare","5433919489.2","5527374000","1.05","2823402","","","/mutual-fund/holding-history/7818/804/"
"Life Insurance Corporation of India","LICI","543526","Financial Services","5365698317.5","5416489000","1.03","5674985","471010","9.05","/mutual-fund/holding-history/7818/829878/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","5448896024.7","5402303000","1.03","6954114","-2789600","-28.63","/mutual-fund/holding-history/7818/65394/"
"Vedanta Ltd","VEDL","500295","Basic Materials","4950452020.15","4893156000","0.93","11234431","3873923","52.63","/mutual-fund/holding-history/7818/1289/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","4708487138.4","4855335000","0.92","30153616","-16500000","-35.37","/mutual-fund/holding-history/7818/1366/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","4138208776.35","4133355000","0.79","7467669","-29700","-0.4","/mutual-fund/holding-history/7818/71/"
"Vodafone Group PLC ADR","","","Communication Services","","3876500000","0.74","4385973","-4385974","-50",""
"Cummins India Ltd","CUMMINSIND","500480","Industrials","3854680493.3","3834733000","0.73","1173383","-127586","-9.81","/mutual-fund/holding-history/7818/297/"
"LIC Housing Finance Ltd","LICHSGFIN","500253","Financial Services","3925259638.95","3823338000","0.73","6410157","3539107","123.27","/mutual-fund/holding-history/7818/790/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","3925636702.4","3754059000","0.71","2293816","","","/mutual-fund/holding-history/7818/531/"
"Aurobindo Pharma Ltd","AUROPHARMA","524804","Healthcare","3584014327.2","3708069000","0.7","3230588","","","/mutual-fund/holding-history/7818/132/"
"Gujarat State Petronet Ltd","GSPL","532702","Utilities","3095420218.4","3179054000","0.6","9668656","","","/mutual-fund/holding-history/7818/502/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","3386334952","3172194000","0.6","1691476","","","/mutual-fund/holding-history/7818/61147/"
"Asian Paints Ltd","ASIANPAINT","500820","Basic Materials","3188804213.7","3159435000","0.6","1398537","84605","6.44","/mutual-fund/holding-history/7818/117/"
"Zydus Lifesciences Ltd","ZYDUSLIFE","532321","Healthcare","3248243726","3102461000","0.59","3335980","","","/mutual-fund/holding-history/7818/229/"
"Bharat Petroleum Corp Ltd","BPCL","500547","Energy","3056291828.15","3034846000","0.58","9531551","-2000000","-17.34","/mutual-fund/holding-history/7818/215/"
"Cipla Ltd","CIPLA","500087","Healthcare","2747896725","2676141000","0.51","1825845","","","/mutual-fund/holding-history/7818/268/"
"Bajaj Finserv Ltd","BAJAJFINSV","532978","Financial Services","2492136506.2","2498949000","0.48","1238698","","","/mutual-fund/holding-history/7818/147/"
