"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","35658687851.1","36059160000","8.64","18540367","","","/mutual-fund/holding-history/8900/533/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","30092108148.5","29890162000","7.16","21036077","","","/mutual-fund/holding-history/8900/1127/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","24053300000","24578600000","5.89","17000000","","","/mutual-fund/holding-history/8900/584/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","20141433207","19658303000","4.71","16489098","","","/mutual-fund/holding-history/8900/140/"
"Larsen & Toubro Ltd","LT","500510","Industrials","15840584241.3","16172384000","3.87","4400529","","","/mutual-fund/holding-history/8900/800/"
"State Bank of India","SBIN","500112","Financial Services","14018025015.8","14378233000","3.44","17700644","","","/mutual-fund/holding-history/8900/1193/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","1439032675","14282205000","3.42","1555711","","","/mutual-fund/holding-history/8900/150/"
"ITC Ltd","ITC","500875","Consumer Defensive","12827660995.8","12872308000","3.08","30791313","16721265","118.84","/mutual-fund/holding-history/8900/647/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","12315566700","11721491000","2.81","5229540","","","/mutual-fund/holding-history/8900/67/"
"Infosys Ltd","INFY","500209","Technology","11072564330.8","10627132000","2.55","6800494","","","/mutual-fund/holding-history/8900/630/"
"NTPC Ltd","NTPC","532555","Utilities","9545650672.8","9562835000","2.29","28639816","","","/mutual-fund/holding-history/8900/959/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","9410580000","9351180000","2.24","2700000","200000","8","/mutual-fund/holding-history/8900/1372/"
"Tata Power Co Ltd","TATAPOWER","500400","Utilities","8849250000","8838000000","2.12","22500000","","","/mutual-fund/holding-history/8900/1364/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","8361821154.6","8541504000","2.05","3637314","","","/mutual-fund/holding-history/8900/560/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","8410266413.3","8230277000","1.97","2764807","","","/mutual-fund/holding-history/8900/807/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","7476893250","7224145000","1.73","586423","","","/mutual-fund/holding-history/8900/842/"
"Dr Reddy's Laboratories Ltd","DRREDDY","500124","Healthcare","6601293650.7","6265295000","1.5","5007429","","","/mutual-fund/holding-history/8900/346/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","6194094403.5","6239196000","1.49","3442885","","","/mutual-fund/holding-history/8900/60957/"
"Chalet Hotels Ltd","CHALET","542399","Consumer Cyclical","6093868792.2","6212334000","1.49","6769461","","","/mutual-fund/holding-history/8900/127257/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","6478249593.4","6201372000","1.49","26022292","","","/mutual-fund/holding-history/8900/589490/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","6185672400.6","5893277000","1.41","3600927","","","/mutual-fund/holding-history/8900/531/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","5708329928","5607780000","1.34","500248","","","/mutual-fund/holding-history/8900/1443/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","5297937403.5","5352867000","1.28","6953130","","","/mutual-fund/holding-history/8900/606/"
"Divi's Laboratories Ltd","DIVISLAB","532488","Healthcare","5283082440","5287881000","1.27","799740","","","/mutual-fund/holding-history/8900/336/"
"ABB India Ltd","ABB","500002","Industrials","4911367367","4870987000","1.17","815774","","","/mutual-fund/holding-history/8900/17/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","4608000000","4661100000","1.12","6000000","","","/mutual-fund/holding-history/8900/65394/"
"Vedanta Ltd","VEDL","500295","Basic Materials","4884553012.5","4657837000","1.12","10694150","","","/mutual-fund/holding-history/8900/1289/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","4600766544","4605951000","1.1","864156","393562","83.63","/mutual-fund/holding-history/8900/1784/"
"Asian Paints Ltd","ASIANPAINT","500820","Basic Materials","4606135710","4594137000","1.1","2033614","","","/mutual-fund/holding-history/8900/117/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","4168378929.6","4428559000","1.06","27503160","","","/mutual-fund/holding-history/8900/1366/"
"Tata Motors Ltd","TATAMOTORS","500570","Consumer Cyclical","4042388880.6","4322334000","1.04","6007414","1105255","22.55","/mutual-fund/holding-history/8900/1362/"
