"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Nippon India ETF Gold BeES","GOLDBEES","590095","","6993249395.55","6856956000","11.47","86261865","","","/mutual-fund/holding-history/266379/1582/"
"iShares MSCI World ETF","","","","","5748193000","9.61","411780","","",""
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","2202550000","2240990000","3.75","1550000","","","/mutual-fund/holding-history/266379/584/"
"Nippon India Silver ETF","SILVERBEES","","","1729093102.5","1591609000","2.66","16869201","","","/mutual-fund/holding-history/266379/789524/"
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","1521212000","1497573000","2.5","770000","","","/mutual-fund/holding-history/266379/533/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","1469600000","1420900000","2.38","1000000","-125000","-11.11","/mutual-fund/holding-history/266379/1127/"
"State Bank of India","SBIN","500112","Financial Services","1280240000","1299680000","2.17","1600000","","","/mutual-fund/holding-history/266379/1193/"
"Infosys Ltd","INFY","500209","Technology","964020000","937620000","1.57","600000","","","/mutual-fund/holding-history/266379/630/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","982650000","928100000","1.55","500000","","","/mutual-fund/holding-history/266379/187/"
"Larsen & Toubro Ltd","LT","500510","Industrials","903250000","918775000","1.54","250000","50000","25","/mutual-fund/holding-history/266379/800/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","850430000","834540000","1.4","700000","","","/mutual-fund/holding-history/266379/140/"
"NTPC Ltd","NTPC","532555","Utilities","762565000","767970000","1.28","2300000","","","/mutual-fund/holding-history/266379/959/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","739543500","693535000","1.16","145000","10000","7.41","/mutual-fund/holding-history/266379/94155/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","715455000","669780000","1.12","225000","15189","7.24","/mutual-fund/holding-history/266379/807/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","59897500","596733000","1","65000","-10000","-13.33","/mutual-fund/holding-history/266379/150/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","583022273.3","574670000","0.96","1415618","","","/mutual-fund/holding-history/266379/1026/"
"Vedanta Ltd","VEDL","500295","Basic Materials","572325000","566215000","0.95","1300000","","","/mutual-fund/holding-history/266379/1289/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","548520000","543795000","0.91","700000","","","/mutual-fund/holding-history/266379/65394/"
"ABB India Ltd","ABB","500002","Industrials","476960000","477680000","0.8","80000","","","/mutual-fund/holding-history/266379/17/"
"Tech Mahindra Ltd","TECHM","532755","Technology","511710000","472170000","0.79","300000","150000","100","/mutual-fund/holding-history/266379/1374/"
"Tata Power Co Ltd","TATAPOWER","500400","Utilities","483900000","471360000","0.79","1200000","","","/mutual-fund/holding-history/266379/1364/"
