"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","949181000","940165300","5.41","506500","34000","7.2","/mutual-fund/holding-history/1923542/187/"
"Kaveri Seed Co Ltd","KSCL","532899","Basic Materials","813628800","933638400","5.37","648000","45000","7.46","/mutual-fund/holding-history/1923542/769/"
"Redington Ltd","REDINGTON","532805","Technology","1064722500","919571850","5.29","3555000","50000","1.43","/mutual-fund/holding-history/1923542/1120/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","949702600","915301700","5.26","74300","6700","9.91","/mutual-fund/holding-history/1923542/842/"
"Indian Energy Exchange Ltd","IEX","540750","Financial Services","780823680","876002400","5.04","4368000","168000","4","/mutual-fund/holding-history/1923542/63143/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","889242800","852668600","4.9","521000","","","/mutual-fund/holding-history/1923542/531/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","962926707.6","844735201","4.86","575982","","","/mutual-fund/holding-history/1923542/1071/"
"Shriram Finance Ltd","SHRIRAMFIN","511218","Financial Services","838251900","826679550","4.75","1293000","","","/mutual-fund/holding-history/1923542/1288/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","797229320","810922190","4.66","152143","","","/mutual-fund/holding-history/1923542/1784/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","721695450","772090900","4.44","4795000","735000","18.1","/mutual-fund/holding-history/1923542/1366/"
"Aurobindo Pharma Ltd","AUROPHARMA","524804","Healthcare","707187385.3","751096216","4.32","654379","","","/mutual-fund/holding-history/1923542/132/"
"UPL Ltd","UPL","512070","Basic Materials","751692375","748770750","4.31","1192500","7000","0.59","/mutual-fund/holding-history/1923542/1455/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","590246349.5","584708464","3.36","922981","","","/mutual-fund/holding-history/1923542/549/"
"Marksans Pharma Ltd","MARKSANS","524404","Healthcare","516929973.5","548218392","3.15","2097079","240000","12.92","/mutual-fund/holding-history/1923542/841/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","565475186","542102782","3.12","214033","23000","12.04","/mutual-fund/holding-history/1923542/1090/"
"Great Eastern Shipping Co Ltd","GESHIP","500620","Industrials","539421778.1","526276182","3.03","565402","","","/mutual-fund/holding-history/1923542/452/"
"Infosys Ltd","INFY","500209","Technology","531993000","514128300","2.96","329000","40000","13.84","/mutual-fund/holding-history/1923542/630/"
"Granules India Ltd","GRANULES","532482","Healthcare","398049000","440887050","2.54","831000","135000","19.4","/mutual-fund/holding-history/1923542/488/"
"Ramkrishna Forgings Ltd","RKFORGE","532527","Industrials","443230000","423162500","2.43","698000","165000","30.96","/mutual-fund/holding-history/1923542/1140/"
"Restaurant Brands Asia Ltd Ordinary Shares","RBA","543248","Consumer Cyclical","392860472","406873330","2.34","5004592","","","/mutual-fund/holding-history/1923542/357598/"
"Antony Waste Handling Cell Ltd Ordinary Shares","AWHCL","543254","Industrials","383808000","399648000","2.3","640000","","","/mutual-fund/holding-history/1923542/189407/"
"Barbeque-Nation Hospitality Ltd","BARBEQUE","543283","Consumer Cyclical","403498164","386985580","2.23","1285026","10000","0.78","/mutual-fund/holding-history/1923542/454003/"
"Alivus Life Sciences Ltd","ALIVUS","543322","Healthcare","356799000","371392079","2.14","356799","","","/mutual-fund/holding-history/1923542/606572/"
