"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","25691485337.6","25284571000","5.81","13000448","-300000","-2.26","/mutual-fund/holding-history/8036/533/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","18332782519.5","18002095000","4.14","15099895","","","/mutual-fund/holding-history/8036/140/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","16311568152","16599750000","3.82","11481360","","","/mutual-fund/holding-history/8036/584/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","15603548187.1","14594914000","3.36","6511517","","","/mutual-fund/holding-history/8036/67/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","14793338070","14307007000","3.29","10068975","","","/mutual-fund/holding-history/8036/1127/"
"Linde India Ltd","LINDEINDIA","523457","Basic Materials","10011647613","11442427000","2.63","1524539","","","/mutual-fund/holding-history/8036/791/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","12273240000","11420520000","2.63","7600000","-400000","-5","/mutual-fund/holding-history/8036/845/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","1040197634","10357413000","2.38","1128197","-200000","-15.06","/mutual-fund/holding-history/8036/150/"
"NTPC Ltd","NTPC","532555","Utilities","9540052590.45","9613471000","2.21","28791467","","","/mutual-fund/holding-history/8036/959/"
"Vesuvius India Ltd","VESUVIUS","520113","Industrials","900700002","9348052000","2.15","1576028","","","/mutual-fund/holding-history/8036/1475/"
"EIH Ltd","EIHOTEL","500840","Consumer Cyclical","8532441859.05","8770937000","2.02","23730891","","","/mutual-fund/holding-history/8036/363/"
"Larsen & Toubro Ltd","LT","500510","Industrials","8609957460","8755521000","2.01","2382390","","","/mutual-fund/holding-history/8036/800/"
"State Bank of India","SBIN","500112","Financial Services","8480000000","8610380000","1.98","10600000","-1000000","-8.62","/mutual-fund/holding-history/8036/1193/"
"Tata Power Co Ltd","TATAPOWER","500400","Utilities","7929365472","7724838000","1.78","19666085","","","/mutual-fund/holding-history/8036/1364/"
"Infosys Ltd","INFY","500209","Technology","7714409928","7501748000","1.73","4800504","","","/mutual-fund/holding-history/8036/630/"
"Hitachi Energy India Ltd Ordinary Shares","POWERINDIA","543187","Industrials","7319807565","7260737000","1.67","376243","","","/mutual-fund/holding-history/8036/202203/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","7208146496","7107059000","1.63","9231745","","","/mutual-fund/holding-history/8036/606/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","7199211060.9","6748952000","1.55","1411029","","","/mutual-fund/holding-history/8036/94155/"
"SBI Cards and Payment Services Ltd Ordinary Shares","SBICARD","543066","Financial Services","6608076745.2","6219466000","1.43","6752582","","","/mutual-fund/holding-history/8036/188792/"
"ITC Ltd","ITC","500875","Consumer Defensive","5378855253.85","5396929000","1.24","12909769","12909769","New","/mutual-fund/holding-history/8036/647/"
"Kennametal India Ltd","","505890","Industrials","4649487688.75","4933795000","1.13","1954675","","","/mutual-fund/holding-history/8036/2255/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","4614900000","4593600000","1.06","30000000","1800000","6.38","/mutual-fund/holding-history/8036/878/"
"Voltas Ltd","VOLTAS","500575","Consumer Cyclical","4500246007","4366432000","1","3457738","816155","30.9","/mutual-fund/holding-history/8036/1500/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","4310900000","4272675000","0.98","5500000","","","/mutual-fund/holding-history/8036/65394/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","4451720000","4255160000","0.98","2600000","","","/mutual-fund/holding-history/8036/531/"
"Crompton Greaves Consumer Electricals Ltd","CROMPTON","539876","Consumer Cyclical","4203624281.45","4214971000","0.97","11943811","2248162","23.19","/mutual-fund/holding-history/8036/2020/"
"FSN E-Commerce Ventures Ltd","NYKAA","543384","Consumer Cyclical","4198350524.48","4196286000","0.97","20644918","","","/mutual-fund/holding-history/8036/705188/"
"Aditya Birla Sun Life AMC Ltd","ABSLAMC","543374","Financial Services","4164454140","4040332000","0.93","5408382","","","/mutual-fund/holding-history/8036/674158/"
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","4220254925.72","3929616000","0.9","31522669","415099","1.33","/mutual-fund/holding-history/8036/2839786/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","4083557908.04","3756041000","0.86","15761156","","","/mutual-fund/holding-history/8036/589490/"
"Devyani International Ltd","DEVYANI","543330","Consumer Cyclical","3414568518.9","3364183000","0.77","20073889","","","/mutual-fund/holding-history/8036/616664/"
"Bosch Ltd","BOSCHLTD","500530","Consumer Cyclical","3396659850","3356064000","0.77","106830","","","/mutual-fund/holding-history/8036/214/"
"Container Corporation of India Ltd","CONCOR","531344","Industrials","3196797478.2","3351467000","0.77","4272651","1449076","51.32","/mutual-fund/holding-history/8036/279/"
"Swiggy Ltd","SWIGGY","544285","Consumer Cyclical","4008444083.2","3347573000","0.77","10051264","7431527","283.67","/mutual-fund/holding-history/8036/2755533/"
"PVR INOX Ltd","PVRINOX","532689","Communication Services","3209771958.75","3253025000","0.75","3301725","","","/mutual-fund/holding-history/8036/1087/"
"AU Small Finance Bank Ltd","AUBANK","540611","Financial Services","3655499311.25","3147331000","0.72","4541275","","","/mutual-fund/holding-history/8036/54902/"
"Delhivery Ltd","DELHIVERY","543529","Industrials","3275470885.2","3020656000","0.69","8437586","","","/mutual-fund/holding-history/8036/888524/"
"Jubilant Foodworks Ltd","JUBLFOOD","533155","Consumer Cyclical","3205741970.7","2942075000","0.68","4487949","-400000","-8.18","/mutual-fund/holding-history/8036/701/"
"NTPC Green Energy Ltd","NTPCGREEN","544289","Utilities","2815581721.68","2905413000","0.67","26113724","","","/mutual-fund/holding-history/8036/2789016/"
"KEC International Ltd","KEC","532714","Industrials","3236523902.75","2897642000","0.67","3481069","","","/mutual-fund/holding-history/8036/727/"
"ZF Commercial Vehicle Control Systems India Ltd","ZFCVINDIA","533023","Consumer Cyclical","2871054873","2893784000","0.67","216471","","","/mutual-fund/holding-history/8036/1508/"
"Info Edge (India) Ltd","NAUKRI","532777","Communication Services","3041521305","2858497000","0.66","2002450","","","/mutual-fund/holding-history/8036/913/"
"Berger Paints India Ltd","BERGEPAINT","509480","Basic Materials","2835542811","2834047000","0.65","4986885","","","/mutual-fund/holding-history/8036/178/"
"Abbott India Ltd","ABBOTINDIA","500488","Healthcare","2772773685","2664295000","0.61","87483","","","/mutual-fund/holding-history/8036/18/"
"Divi's Laboratories Ltd","DIVISLAB","532488","Healthcare","2606121277.5","2637838000","0.61","398947","","","/mutual-fund/holding-history/8036/336/"
"One97 Communications Ltd","PAYTM","543396","Technology","2641146307.45","2632278000","0.61","2956121","","","/mutual-fund/holding-history/8036/712312/"
"CG Power & Industrial Solutions Ltd","CGPOWER","500093","Industrials","2548764547.05","2601229000","0.6","3788013","","","/mutual-fund/holding-history/8036/293/"
"REC Ltd","RECLTD","532955","Financial Services","2490271672","2517177000","0.58","6256964","","","/mutual-fund/holding-history/8036/1119/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","2439843105.7","2512236000","0.58","15602015","","","/mutual-fund/holding-history/8036/1366/"
"Medplus Health Services Ltd","MEDPLUS","543427","Healthcare","2252369592","2442974000","0.56","2527912","","","/mutual-fund/holding-history/8036/752902/"
"Vijaya Diagnostic Centre Ltd","VIJAYA","543350","Healthcare","2427401945.1","2428418000","0.56","2539389","195873","8.36","/mutual-fund/holding-history/8036/644314/"
"Timken India Ltd","TIMKEN","522113","Industrials","2575570033","2391213000","0.55","765286","","","/mutual-fund/holding-history/8036/1399/"
"UTI Asset Management Co Ltd","UTIAMC","543238","Financial Services","2561222421.8","2377265000","0.55","1997366","","","/mutual-fund/holding-history/8036/305194/"
"Tata Consumer Products Ltd","TATACONSUM","500800","Consumer Defensive","2407595998.8","2359397000","0.54","2132692","","","/mutual-fund/holding-history/8036/1359/"
"Bajaj Auto Ltd","BAJAJ-AUTO","532977","Consumer Cyclical","2278273266","2338453000","0.54","271692","","","/mutual-fund/holding-history/8036/144/"
"Gland Pharma Ltd","GLAND","543245","Healthcare","2605526172","2329547000","0.54","1466415","","","/mutual-fund/holding-history/8036/338662/"
"Page Industries Ltd","PAGEIND","532827","Consumer Cyclical","2379176030","2327488000","0.54","50183","","","/mutual-fund/holding-history/8036/994/"
"Gillette India Ltd","GILLETTE","507815","Consumer Defensive","2544623235","2306684000","0.53","244793","1158","0.48","/mutual-fund/holding-history/8036/456/"
"CIE Automotive India Ltd","CIEINDIA","532756","Consumer Cyclical","2252076847.8","2242603000","0.52","4986332","","","/mutual-fund/holding-history/8036/816/"
"Schneider Electric Infrastructure Ltd","SCHNEIDER","534139","Industrials","2287568418.3","2173703000","0.5","2889986","","","/mutual-fund/holding-history/8036/1195/"
"Emami Ltd","EMAMILTD","531162","Consumer Defensive","2057337623.55","2115457000","0.49","3621117","91247","2.58","/mutual-fund/holding-history/8036/374/"
"Dalmia Bharat Ltd","DALBHARAT","542216","Basic Materials","2184324811.2","2105791000","0.48","1044332","","","/mutual-fund/holding-history/8036/120412/"
"ABB India Ltd","ABB","500002","Industrials","2087291838","2090793000","0.48","350158","","","/mutual-fund/holding-history/8036/17/"
"Shoppers Stop Ltd","SHOPERSTOP","532638","Consumer Cyclical","2025260160","2090604000","0.48","4109700","","","/mutual-fund/holding-history/8036/1225/"
"Tata Motors Ltd","TATAMOTORS","500570","Consumer Cyclical","1923504515.6","2045918000","0.47","2843528","","","/mutual-fund/holding-history/8036/1362/"
"Pfizer Ltd","PFIZER","500680","Healthcare","2018160576","2036775000","0.47","362848","","","/mutual-fund/holding-history/8036/1027/"
"Sona BLW Precision Forgings Ltd","SONACOMS","543300","Consumer Cyclical","1770734538.6","2008531000","0.46","3692492","","","/mutual-fund/holding-history/8036/547977/"
"Kansai Nerolac Paints Ltd","KANSAINER","500165","Basic Materials","1862828980","1936884000","0.45","7634545","","","/mutual-fund/holding-history/8036/718/"
"Exide Industries Ltd","EXIDEIND","500086","Consumer Cyclical","1928500000","1934250000","0.44","5000000","","","/mutual-fund/holding-history/8036/404/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","2035703217","1905024000","0.44","639957","300000","88.25","/mutual-fund/holding-history/8036/807/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","1927999296","1896808000","0.44","1046688","","","/mutual-fund/holding-history/8036/60957/"
"TeamLease Services Ltd","TEAMLEASE","539658","Industrials","1863078541.2","1821447000","0.42","931353","","","/mutual-fund/holding-history/8036/1955/"
"CESC Ltd","CESC","500084","Utilities","1845711357.24","1771953000","0.41","10911039","","","/mutual-fund/holding-history/8036/256/"
"Lupin Ltd","LUPIN","500257","Healthcare","1733760000","1761930000","0.41","900000","","","/mutual-fund/holding-history/8036/804/"
"Siemens Ltd","SIEMENS","500550","Industrials","1673843684.8","1755952000","0.4","537712","142020","35.89","/mutual-fund/holding-history/8036/1237/"
"Sapphire Foods India Ltd","SAPPHIRE","543397","Consumer Cyclical","1789479440","1735468000","0.4","5455730","","","/mutual-fund/holding-history/8036/716755/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","1718012500","1694841000","0.39","4175000","","","/mutual-fund/holding-history/8036/1026/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","1774352790","1667954000","0.38","312937","312937","New","/mutual-fund/holding-history/8036/1784/"
"Kajaria Ceramics Ltd","KAJARIACER","500233","Industrials","1773576874.8","1655068000","0.38","1591794","200000","14.37","/mutual-fund/holding-history/8036/709/"
"3M India Ltd","3MINDIA","523395","Industrials","1598189835","1641361000","0.38","56067","-322","-0.57","/mutual-fund/holding-history/8036/10/"
"CARE Ratings Ltd","CARERATING","534804","Financial Services","1617843424.5","1640404000","0.38","913365","","","/mutual-fund/holding-history/8036/240/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","1700561656","1629620000","0.37","145372","","","/mutual-fund/holding-history/8036/1443/"
"NLC India Ltd","NLCINDIA","513683","Utilities","1527926040.26","1622075000","0.37","6710554","","","/mutual-fund/holding-history/8036/935/"
"J.B. Chemicals & Pharmaceuticals Ltd","JBCHEPHARM","506943","Healthcare","1707896515.4","1592207000","0.37","949834","","","/mutual-fund/holding-history/8036/665/"
"Hyundai Motor India Ltd","HYUNDAI","544274","Consumer Cyclical","1821179764.4","1581015000","0.36","855898","","","/mutual-fund/holding-history/8036/2710663/"
"Amara Raja Energy & Mobility Ltd","ARE&M","500008","Industrials","1477643604","1571807000","0.36","1524916","","","/mutual-fund/holding-history/8036/68/"
