"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Reliance Industries Ltd","RELIANCE","500325","Energy","21581137723.2","20865976000","5.87","14685042","","","/mutual-fund/holding-history/630102/1127/"
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","19418462325.9","19106069000","5.37","9823677","","","/mutual-fund/holding-history/630102/533/"
"GAIL (India) Ltd","GAIL","532155","Utilities","10337464872.8","10628661000","2.99","55999268","-1193800","-2.09","/mutual-fund/holding-history/630102/431/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","8757146890.1","9017560000","2.54","56002730","","","/mutual-fund/holding-history/630102/1366/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","9099369547.5","8616156000","2.42","4641825","-92625","-1.96","/mutual-fund/holding-history/630102/187/"
"ITC Ltd","ITC","500875","Consumer Defensive","8169075557.1","8195541000","2.3","19604213","5737393","41.37","/mutual-fund/holding-history/630102/647/"
"Larsen & Toubro Ltd","LT","500510","Industrials","7025118250","7137963000","2.01","1942250","500000","34.67","/mutual-fund/holding-history/630102/800/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","7229094793.8","7094022000","1.99","5950362","","","/mutual-fund/holding-history/630102/140/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","7397834302.6","7069541000","1.99","4319651","","","/mutual-fund/holding-history/630102/531/"
"Tata Motors Ltd","TATAMOTORS","500570","Consumer Cyclical","6302255653.6","6701852000","1.88","9314596","","","/mutual-fund/holding-history/630102/1362/"
"Bank of Baroda","BANKBARODA","532134","Financial Services","6391803896.5","6649746000","1.87","26646950","7382322","38.32","/mutual-fund/holding-history/630102/162/"
"Tech Mahindra Ltd","TECHM","532755","Technology","7142146822","6589112000","1.85","4186487","-17400","-0.41","/mutual-fund/holding-history/630102/1374/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","6551289338","6128811000","1.72","2058859","-132825","-6.06","/mutual-fund/holding-history/630102/807/"
"Punjab National Bank","PNB","532461","Financial Services","5906612138.28","5901593000","1.66","55770108","","","/mutual-fund/holding-history/630102/1048/"
"Torrent Power Ltd","TORNTPOWER","532779","Utilities","6007310520.1","5619966000","1.58","4090223","","","/mutual-fund/holding-history/630102/1410/"
"State Bank of India","SBIN","500112","Financial Services","5464767352.65","5542899000","1.56","6823709","","","/mutual-fund/holding-history/630102/1193/"
"CESC Ltd","CESC","500084","Utilities","5744640000","5521600000","1.55","34000000","","","/mutual-fund/holding-history/630102/256/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","4958080000","4771765000","1.34","387350","","","/mutual-fund/holding-history/630102/842/"
"Indian Oil Corp Ltd","IOC","530965","Energy","4395835389.5","4387183000","1.23","30902182","-13138125","-29.83","/mutual-fund/holding-history/630102/639/"
"Ashok Leyland Ltd","ASHOKLEY","500477","Industrials","4434689925","4306957000","1.21","18247500","","","/mutual-fund/holding-history/630102/114/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","4219244490.4","4239461000","1.19","2527099","-362600","-12.55","/mutual-fund/holding-history/630102/1316/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","3756649224.1","3819256000","1.07","2641621","","","/mutual-fund/holding-history/630102/584/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","4047385320","3806660000","1.07","1834800","-528800","-22.37","/mutual-fund/holding-history/630102/758/"
"Indus Towers Ltd Ordinary Shares","INDUSTOWER","534816","Communication Services","4032235130","3732939000","1.05","9717400","7901800","435.22","/mutual-fund/holding-history/630102/629/"
"DLF Ltd","DLF","532868","Real Estate","3733206592.5","3510979000","0.99","4400550","-923175","-17.34","/mutual-fund/holding-history/630102/337/"
"United Spirits Ltd","UNITDSPR","532432","Consumer Defensive","3280631340","3415209000","0.96","2246700","","","/mutual-fund/holding-history/630102/851/"
"Biocon Ltd","BIOCON","532523","Healthcare","3493392063","3365622000","0.95","10021205","","","/mutual-fund/holding-history/630102/197/"
"Cipla Ltd","CIPLA","500087","Healthcare","3208628923.5","3132126000","0.88","2136949","","","/mutual-fund/holding-history/630102/268/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","3267044700","3071679000","0.86","576300","-18450","-3.1","/mutual-fund/holding-history/630102/1784/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","2924217011.8","2966617000","0.83","856562","","","/mutual-fund/holding-history/630102/1372/"
"Petronet LNG Ltd","PETRONET","532522","Energy","2883017775","2966521000","0.83","9653500","-172500","-1.76","/mutual-fund/holding-history/630102/1025/"
"ICICI Prudential Life Insurance Co Ltd","ICICIPRULI","540133","Financial Services","2736352795","2854425000","0.8","4309217","","","/mutual-fund/holding-history/630102/4714/"
"Dabur India Ltd","DABUR","500096","Consumer Defensive","2789316951.75","2810852000","0.79","5820171","","","/mutual-fund/holding-history/630102/303/"
"Oil & Natural Gas Corp Ltd","ONGC","500312","Energy","2579429150","2532254000","0.71","10577500","","","/mutual-fund/holding-history/630102/974/"
"Bharat Petroleum Corp Ltd","BPCL","500547","Energy","2346401260","2327759000","0.65","7310800","","","/mutual-fund/holding-history/630102/215/"
"Life Insurance Corporation of India","LICI","543526","Financial Services","2287507464","2307940000","0.65","2418084","","","/mutual-fund/holding-history/630102/829878/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","2034588780","2100789000","0.59","894600","","","/mutual-fund/holding-history/630102/560/"
"Tata Power Co Ltd","TATAPOWER","500400","Utilities","1908006840","1858101000","0.52","4730400","-869400","-15.53","/mutual-fund/holding-history/630102/1364/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","1749039500","1741897000","0.49","533000","-63000","-10.57","/mutual-fund/holding-history/630102/297/"
"Power Grid Corp Of India Ltd","POWERGRID","532898","Utilities","1708506000","1707033000","0.48","5891400","-3187800","-35.11","/mutual-fund/holding-history/630102/1057/"
"Carborundum Universal Ltd","CARBORUNIV","513375","Industrials","1539506475","1566033000","0.44","1578981","","","/mutual-fund/holding-history/630102/238/"
"Delhivery Ltd","DELHIVERY","543529","Industrials","1553400000","1432000000","0.4","4000000","","","/mutual-fund/holding-history/630102/888524/"
"Wipro Ltd","WIPRO","507685","Technology","1484334524.4","1383845000","0.39","5542698","","","/mutual-fund/holding-history/630102/1526/"
"Gateway Distriparks Ltd","GATEWAY","543489","Industrials","1369974914.23","1338882000","0.38","21008663","","","/mutual-fund/holding-history/630102/852172/"
"Bandhan Bank Ltd","BANDHANBNK","541153","Financial Services","1408229228","1321423000","0.37","7764400","7000000","915.75","/mutual-fund/holding-history/630102/79883/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","1343585617","1257240000","0.35","670385","25","0","/mutual-fund/holding-history/630102/61147/"
"Lupin Ltd","LUPIN","500257","Healthcare","1208484695","1226401000","0.34","626450","-5525","-0.87","/mutual-fund/holding-history/630102/804/"
"Grasim Industries Ltd","GRASIM","500300","Basic Materials","1163862796.3","1060435000","0.3","416543","","","/mutual-fund/holding-history/630102/490/"
"IndusInd Bank Ltd","INDUSINDBK","532187","Financial Services","1061376800","1042428000","0.29","1276000","","","/mutual-fund/holding-history/630102/625/"
"Bajaj Finserv Ltd","BAJAJFINSV","532978","Financial Services","1019250900","1023003000","0.29","507090","","","/mutual-fund/holding-history/630102/147/"
"Alkem Laboratories Ltd","ALKEM","539523","Healthcare","870742115","915640000","0.26","179590","","","/mutual-fund/holding-history/630102/1878/"
"Container Corporation of India Ltd","CONCOR","531344","Industrials","853715016.25","894363000","0.25","1140187","","","/mutual-fund/holding-history/630102/279/"
"Aditya Birla Capital Ltd","ABCAPITAL","540691","Financial Services","965180934","798433000","0.22","3588300","-37800","-1.04","/mutual-fund/holding-history/630102/61684/"
"Go Fashion (India) Ltd","GOCOLORS","543401","Consumer Cyclical","811416024","788352000","0.22","926274","","","/mutual-fund/holding-history/630102/728986/"
"Sona BLW Precision Forgings Ltd","SONACOMS","543300","Consumer Cyclical","681792267.5","773755000","0.22","1422475","-768025","-35.06","/mutual-fund/holding-history/630102/547977/"
"Infosys Ltd","INFY","500209","Technology","786106734","763676000","0.21","488690","","","/mutual-fund/holding-history/630102/630/"
"Titan Co Ltd","TITAN","500114","Consumer Cyclical","766270750","745306000","0.21","209650","-9450","-4.31","/mutual-fund/holding-history/630102/1403/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","674936025","663945000","0.19","366375","","","/mutual-fund/holding-history/630102/60957/"
"ACC Ltd","ACC","500410","Basic Materials","602777500","611910000","0.17","325000","","","/mutual-fund/holding-history/630102/22/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","647053680","611074000","0.17","964600","-1400","-0.14","/mutual-fund/holding-history/630102/549/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","627066400","600856000","0.17","53600","-1000","-1.83","/mutual-fund/holding-history/630102/1443/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","630383339.3","591212000","0.17","123607","","","/mutual-fund/holding-history/630102/94155/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","583797577.5","587658000","0.17","1429650","-30375","-2.08","/mutual-fund/holding-history/630102/556/"
"Canara Bank","CANBK","532483","Financial Services","540958500","559283000","0.16","4873500","-2146500","-30.58","/mutual-fund/holding-history/630102/232/"
"JSW Steel Ltd","JSWSTEEL","500228","Basic Materials","381492450","372861000","0.1","375300","","","/mutual-fund/holding-history/630102/699/"
"Bajaj Auto Ltd","BAJAJ-AUTO","532977","Consumer Cyclical","354098850","363431000","0.1","42225","-43350","-50.66","/mutual-fund/holding-history/630102/144/"
"Jindal Steel & Power Ltd","JINDALSTEL","532286","Basic Materials","316867687.5","323812000","0.09","341250","","","/mutual-fund/holding-history/630102/677/"
"Mahindra & Mahindra Financial Services Ltd","M&MFIN","532720","Financial Services","289305347.05","281909000","0.08","1079699","1079699","New","/mutual-fund/holding-history/630102/808/"
"NTPC Ltd","NTPC","532555","Utilities","266445600","268456000","0.08","804000","","","/mutual-fund/holding-history/630102/959/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","160755900","148229000","0.04","622000","","","/mutual-fund/holding-history/630102/589490/"
"Tata Consumer Products Ltd","TATACONSUM","500800","Consumer Defensive","130238935.2","127632000","0.04","115368","","","/mutual-fund/holding-history/630102/1359/"
"LIC Housing Finance Ltd","LICHSGFIN","500253","Financial Services","122390000","119290000","0.03","200000","","","/mutual-fund/holding-history/630102/790/"
"Crompton Greaves Consumer Electricals Ltd","CROMPTON","539876","Consumer Cyclical","106481064.7","106768000","0.03","302546","","","/mutual-fund/holding-history/630102/2020/"
"Tube Investments of India Ltd Ordinary Shares","TIINDIA","540762","Industrials","97809344.1","105633000","0.03","34497","","","/mutual-fund/holding-history/630102/67548/"
"REC Ltd","RECLTD","532955","Financial Services","101528250","102587000","0.03","255000","-5000","-1.92","/mutual-fund/holding-history/630102/1119/"
"Marico Ltd","MARICO","531642","Consumer Defensive","99627840","100590000","0.03","140400","","","/mutual-fund/holding-history/630102/840/"
"Vodafone Idea Ltd","IDEA","532822","Communication Services","70266000","67816000","0.02","9800000","-5200000","-34.67","/mutual-fund/holding-history/630102/589/"
"Hindustan Aeronautics Ltd Ordinary Shares","HAL","541154","Industrials","64898550","67150000","0.02","13500","","","/mutual-fund/holding-history/630102/80502/"
"Indian Energy Exchange Ltd","IEX","540750","Financial Services","59790150","63173000","0.02","315000","","","/mutual-fund/holding-history/630102/63143/"
"NMDC Ltd","NMDC","526371","Basic Materials","59719680","61491000","0.02","864000","-999000","-53.62","/mutual-fund/holding-history/630102/949/"
"Bharat Heavy Electricals Ltd","BHEL","500103","Industrials","46526025","46380000","0.01","178500","-769125","-81.16","/mutual-fund/holding-history/630102/189/"
"Godrej Consumer Products Ltd","GODREJCP","532424","Consumer Defensive","43660000","45562000","0.01","37000","-48000","-56.47","/mutual-fund/holding-history/630102/476/"
"Steel Authority Of India Ltd","SAIL","500113","Basic Materials","43897400","43921000","0.01","340000","","","/mutual-fund/holding-history/630102/1165/"
"Aurobindo Pharma Ltd","AUROPHARMA","524804","Healthcare","35498320","36615000","0.01","31900","","","/mutual-fund/holding-history/630102/132/"
"Havells India Ltd","HAVELLS","517354","Industrials","21404250","20615000","0.01","13500","","","/mutual-fund/holding-history/630102/525/"
"Coforge Ltd","COFORGE","532541","Technology","3530625","16032000","0","1875","","","/mutual-fund/holding-history/630102/942/"
"Coal India Ltd","COALINDIA","533278","Energy","14021175","14184000","0","35700","-1160250","-97.01","/mutual-fund/holding-history/630102/275/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","96810","964000","0","105","","","/mutual-fund/holding-history/630102/150/"
"Dr Reddy's Laboratories Ltd","DRREDDY","500124","Healthcare","334700","313000","0","250","","","/mutual-fund/holding-history/630102/346/"
