"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","25350907600","25589049000","8.18","13157000","","","/mutual-fund/holding-history/8084/533/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","11872560000","11618320000","3.71","5600000","","","/mutual-fund/holding-history/8084/758/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","11220320000","10968240000","3.5","9200000","","","/mutual-fund/holding-history/8084/140/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","10852040000","10798840000","3.45","7600000","","","/mutual-fund/holding-history/8084/1127/"
"State Bank of India","SBIN","500112","Financial Services","9095925000","9341450000","2.98","11500000","","","/mutual-fund/holding-history/8084/1193/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","9422030000","9135530000","2.92","1910000","","","/mutual-fund/holding-history/8084/94155/"
"Shree Cement Ltd","SHREECEM","500387","Basic Materials","8520200000","8582550000","2.74","290000","","","/mutual-fund/holding-history/8084/1226/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","8259145710.9","8449072000","2.7","5843873","","","/mutual-fund/holding-history/8084/584/"
"Abbott India Ltd","ABBOTINDIA","500488","Healthcare","8732874060","8371409000","2.67","274878","","","/mutual-fund/holding-history/8084/18/"
"Berger Paints India Ltd","BERGEPAINT","509480","Basic Materials","8052021932","8164075000","2.61","14365784","740514","5.43","/mutual-fund/holding-history/8084/178/"
"Alkem Laboratories Ltd","ALKEM","539523","Healthcare","7061636784","7529016000","2.41","1476712","","","/mutual-fund/holding-history/8084/1878/"
"Ashok Leyland Ltd","ASHOKLEY","500477","Industrials","6346080000","6372810000","2.04","27000000","","","/mutual-fund/holding-history/8084/114/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","5934719251.4","5999760000","1.92","2426891","271491","12.6","/mutual-fund/holding-history/8084/153/"
"Muthoot Finance Ltd","MUTHOOTFIN","533398","Financial Services","7083519300","5961641000","1.9","2691000","","","/mutual-fund/holding-history/8084/897/"
"Infosys Ltd","INFY","500209","Technology","6184120000","5938260000","1.9","3800000","","","/mutual-fund/holding-history/8084/630/"
"Bharat Forge Ltd","BHARATFORG","500493","Consumer Cyclical","6097310000","5832230000","1.86","4700000","152731","3.36","/mutual-fund/holding-history/8084/184/"
"LTIMindtree Ltd","LTIM","540005","Technology","6213669000","5776518000","1.85","1139600","","","/mutual-fund/holding-history/8084/4596/"
"Page Industries Ltd","PAGEIND","532827","Consumer Cyclical","5463113355","5632526000","1.8","121443","","","/mutual-fund/holding-history/8084/994/"
"Divi's Laboratories Ltd","DIVISLAB","532488","Healthcare","5482150000","5487960000","1.75","830000","","","/mutual-fund/holding-history/8084/336/"
"Torrent Power Ltd","TORNTPOWER","532779","Utilities","5514049785.2","5457646000","1.74","3972086","","","/mutual-fund/holding-history/8084/1410/"
"Jubilant Foodworks Ltd","JUBLFOOD","533155","Consumer Cyclical","5175154000","4992013000","1.6","7615000","","","/mutual-fund/holding-history/8084/701/"
"Jindal Steel & Power Ltd","JINDALSTEL","532286","Basic Materials","4517315000","4801434000","1.53","5060000","","","/mutual-fund/holding-history/8084/677/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","4604200000","4696600000","1.5","2000000","","","/mutual-fund/holding-history/8084/560/"
"Gland Pharma Ltd","GLAND","543245","Healthcare","5021350000","4606940000","1.47","2900000","","","/mutual-fund/holding-history/8084/338662/"
